Sachin Tendulkar,Abhimanyu Mithun,0.333333343,0.5,0,0,0.166666672,0,0,12
Sanath Jayasuriya,Abhimanyu Mithun,0.666666687,0,0,0,0.333333343,0,0,3
Sunny Singh,Abhimanyu Mithun,0.5,0.5,0,0,0,0,0,2
Tim Paine,Abhimanyu Mithun,0.5,0.5,0,0,0,0,0,4
Virender Sehwag,Abhimanyu Mithun,0,0,0,0,0,0.5,0.5,2
VVS Laxman,Abhimanyu Mithun,0.5,0.25,0,0,0,0.25,0,4
Wriddhiman Saha,Abhimanyu Mithun,0.555555582,0.444444448,0,0,0,0,0,9
Venugopal Rao,Abhimanyu Mithun,0.416666657,0.333333343,0,0,0.166666672,0.083333336,0,12
Yusuf Pathan,Abhimanyu Mithun,0.5,0.166666672,0,0,0.166666672,0.166666672,0,6
Yuvraj Singh,Abhimanyu Mithun,0.5,0.25,0.25,0,0,0,0,4
Ambati Rayudu,Abhishek Jhunjhunwala,0.25,0.125,0.125,0,0.375,0.125,0,8
Francois du Plessis,Abhishek Jhunjhunwala,0.666666687,0.333333343,0,0,0,0,0,6
Herschelle Gibbs,Abhishek Jhunjhunwala,0.400000006,0.200000003,0,0,0,0.400000006,0,5
Irfan Pathan,Abhishek Jhunjhunwala,0.333333343,0.666666687,0,0,0,0,0,3
Albie Morkel,Abhishek Jhunjhunwala,0.400000006,0.200000003,0.266666681,0,0,0.06666667,0.06666667,15
JP Duminy,Abhishek Jhunjhunwala,0.600000024,0.200000003,0,0,0.200000003,0,0,5
Dinesh Karthik,Abhishek Jhunjhunwala,0,0.5,0.25,0,0.25,0,0,4
Mithun Manhas,Abhishek Jhunjhunwala,0,0,1,0,0,0,0,1
Murali Vijay,Abhishek Jhunjhunwala,0,0.666666687,0,0,0,0,0,3
Mandeep Singh,Abhishek Jhunjhunwala,0.333333343,0.333333343,0.111111112,0,0.222222224,0,0,9
Naman Ojha,Abhishek Jhunjhunwala,0,0.666666687,0,0,0,0.333333343,0,3
Shaun Marsh,Abhishek Jhunjhunwala,0.272727281,0.454545468,0.090909094,0,0.181818187,0,0,11
Suresh Raina,Abhishek Jhunjhunwala,0.333333343,0.5,0.166666672,0,0,0,0,6
Sachin Tendulkar,Abhishek Jhunjhunwala,0,1,0,0,0,0,0,1
Saurabh Tiwary,Abhishek Jhunjhunwala,0.25,0.5,0,0,0.25,0,0,4
VVS Laxman,Abhishek Jhunjhunwala,0,1,0,0,0,0,0,1
Adam Gilchrist,Abhishek Nayar,0,0.25,0,0,0,0.75,0,4
Ashok Menaria,Abhishek Nayar,0.5,0.5,0,0,0,0,0,2
Arindam Ghosh,Abhishek Nayar,0,0,0,0,0,0,1,1
Abhishek Raut,Abhishek Nayar,0.5,0.5,0,0,0,0,0,4
Brendon McCullum,Abhishek Nayar,0,0.5,0,0,0,0,0.5,2
Brad Haddin,Abhishek Nayar,0.25,0.416666657,0.166666672,0,0.083333336,0,0.083333336,12
Ben Rohrer,Abhishek Nayar,0.333333343,0.111111112,0.333333343,0,0.111111112,0,0.111111112,9
Chris Gayle,Abhishek Nayar,0.25,0.5,0,0,0,0.25,0,8
David Warner,Abhishek Nayar,0,0.875,0,0,0.125,0,0,8
Dwaraka Ravi Teja,Abhishek Nayar,0.600000024,0.200000003,0,0,0.100000001,0.100000001,0,10
Gautam Gambhir,Abhishek Nayar,0.428571433,0.142857149,0.142857149,0,0.285714298,0,0,7
Jesse Ryder,Abhishek Nayar,0,1,0,0,0,0,0,1
Jacques Kallis,Abhishek Nayar,0.5,0.277777791,0.111111112,0,0.111111112,0,0,18
Kumar Sangakkara,Abhishek Nayar,0,0.5,0.25,0,0.25,0,0,4
Kedar Jadhav,Abhishek Nayar,0,1,0,0,0,0,0,1
LPC Silva,Abhishek Nayar,0.333333343,0.333333343,0,0,0,0,0.333333343,3
Laxmi Ratan Shukla,Abhishek Nayar,1,0,0,0,0,0,0,3
Mohammad Kaif,Abhishek Nayar,0,1,0,0,0,0,0,2
Mithun Manhas,Abhishek Nayar,0.25,0.25,0,0,0.25,0,0.25,4
Murali Vijay,Abhishek Nayar,0.222222224,0.333333343,0.222222224,0,0,0.111111112,0.111111112,9
Matthew Hayden,Abhishek Nayar,0.333333343,0.333333343,0,0,0,0.333333343,0,3
MN van Wyk,Abhishek Nayar,0.25,0.75,0,0,0,0,0,4
Ravindra Jadeja,Abhishek Nayar,0.333333343,0.5,0.166666672,0,0,0,0,6
Robin Uthappa,Abhishek Nayar,0.400000006,0.400000006,0.06666667,0,0.06666667,0.06666667,0,15
Subramaniam Badrinath,Abhishek Nayar,0.13636364,0.545454562,0.13636364,0,0.181818187,0,0,22
Shikhar Dhawan,Abhishek Nayar,0,1,0,0,0,0,0,2
Sourav Ganguly,Abhishek Nayar,0.285714298,0.571428597,0,0,0,0,0.142857149,7
Suresh Raina,Abhishek Nayar,0.214285716,0.5,0.142857149,0,0.071428575,0.071428575,0,14
