Player,Pos,Mat,Inns,NO,Runs,HS,Avg,BF,SR,Hundreds,Fifties,Fours,Sixes,CLUSTER
Shivam Sharma,374,5,2,1,5,4,5.0,3,166.66,0,0,1,0,0
Ashish Nehra,255,82,20,13,41,22,5.85,62,66.12,0,0,3,1,0
Nathan McCullum,286,2,2,1,26,15,26.0,22,118.18,0,0,0,1,0
Ali Murtaza,348,12,3,2,10,5,10.0,14,71.42,0,0,1,0,0
Ishant Sharma,265,70,19,15,37,9,9.25,46,80.43,0,0,2,1,0
Shoaib Malik,234,7,5,1,52,24,13.0,47,110.63,0,0,5,0,0
Sohail Tanvir,269,11,5,2,36,13,12.0,29,124.13,0,0,3,1,0
Rahul Sharma,222,44,20,6,66,14,4.71,75,88.0,0,0,5,3,0
Siddarth Kaul,354,11,3,3,9,7,0.0,11,81.81,0,0,0,0,0
DNT Zoysa,346,3,2,1,11,10,11.0,9,122.22,0,0,1,0,0
C Madan,326,1,1,0,15,15,15.0,19,78.94,0,0,3,0,0
Chamara Kapugedera,325,5,3,0,16,8,5.33,23,69.56,0,0,0,0,0
Krishnakant Upadhyay,341,3,2,2,12,11,0.0,9,133.33,0,0,0,1,0
Arun Karthik,236,17,8,3,51,19,10.2,51,100.0,0,0,4,1,0
Colin Ingram,299,3,3,1,21,13,10.5,26,80.76,0,0,2,0,0
Anirudh Singh,224,5,4,0,63,40,15.75,66,95.45,0,0,6,1,0
Glenn McGrath,384,14,3,2,4,4,4.0,5,80.0,0,0,1,0,0
Umar Gul,261,6,4,1,39,24,13.0,19,205.26,0,0,1,5,0
Nathan Coulter0Nile,262,18,10,4,38,9,6.33,38,100.0,0,0,3,2,0
Shadab Jakati,283,57,8,7,28,13,28.0,29,96.55,0,0,3,0,0
Luke Ronchi,274,5,5,0,34,13,6.8,34,100.0,0,0,6,1,0
Jeevan Mendis,294,3,3,0,23,12,7.66,27,85.18,0,0,0,0,0
Kane Richardson,266,14,4,1,36,26,12.0,39,92.3,0,0,2,1,0
Farhaan Behardien,332,3,3,1,14,9,7.0,13,107.69,0,0,2,0,0
Munaf Patel,258,61,14,9,39,23,7.8,40,97.5,0,0,5,0,0
Akshdeep Nath,306,4,3,0,20,12,6.66,27,74.07,0,0,1,0,0
Matthew Wade,295,3,3,0,22,11,7.33,33,66.66,0,0,0,0,0
Tatenda Taibu,279,3,3,0,31,15,10.33,26,119.23,0,0,3,0,0
Aditya Dole,273,3,2,0,34,30,17.0,22,154.54,0,0,3,1,0
Jimmy Neesham,250,4,3,0,42,22,14.0,46,91.3,0,0,3,1,0
Nuwan Kulasekara,376,6,1,1,5,5,0.0,3,166.66,0,0,1,0,0
Shaun Tait,293,21,5,2,23,11,7.66,26,88.46,0,0,1,1,0
RP Singh,235,82,30,15,52,10,3.46,76,68.42,0,0,2,1,0
Travis Birt,216,5,5,0,75,27,15.0,58,129.31,0,0,9,2,0
Alfonso Thomas,302,15,4,2,20,12,10.0,19,105.26,0,0,1,1,0
Shardul Thakur,366,1,1,1,7,7,0.0,6,116.66,0,0,1,0,0
Abu Nechim,330,10,4,3,14,5,14.0,6,233.33,0,0,3,0,0
Chaminda Vaas,212,13,11,3,81,20,10.12,73,110.95,0,0,2,3,0
Shanthakumaran Sreesanth,275,44,14,10,34,15,8.5,55,61.81,0,0,6,0,0
T Thushara,337,6,4,2,12,8,6.0,18,66.66,0,0,0,0,0
Harpreet Singh,300,4,3,1,20,13,10.0,26,76.92,0,0,0,0,0
Charl Langeveldt,358,7,2,0,8,8,4.0,9,88.88,0,0,0,1,0
Eklavya Dwivedi,288,4,2,0,24,19,12.0,14,171.42,0,0,2,2,0
Imran Tahir,315,20,5,1,18,5,4.5,23,78.26,0,0,3,0,0
DP Vijaykumar,411,9,2,2,1,1,0.0,1,100.0,0,0,0,0,0
Ronit More,404,2,1,1,2,2,0.0,2,100.0,0,0,0,0,0
Ashley Noffke,355,1,1,0,9,9,9.0,10,90.0,0,0,1,0,0
Barinder Sran,385,15,4,4,4,2,0.0,4,100.0,0,0,0,0,0
Sandeep Sharma,307,43,9,8,19,7,19.0,29,65.51,0,0,1,0,0
Anil Kumble,271,42,17,14,35,8,11.66,47,74.46,0,0,3,0,0
JM Kemp,285,5,2,0,26,22,13.0,24,108.33,0,0,1,1,0
Jason Holder,263,11,5,0,38,16,7.6,31,122.58,0,0,4,2,0
Yashpal Singh,243,8,4,0,47,20,11.75,66,71.21,0,0,5,0,0
Travis Head,231,3,3,1,54,37,27.0,40,135.0,0,0,3,2,0
Y Gnaneswara Rao,313,2,1,0,19,19,19.0,17,111.76,0,0,3,0,0
Ishan Kishan,253,5,5,0,42,27,8.4,41,102.43,0,0,5,0,0
Kemar Roach,349,2,1,0,10,10,10.0,9,111.11,0,0,1,0,0
