Pos,Player,Mat,Inns,Overs,Runs,Wkts,BBI,Avg,Econ,SR,4w,5w
34,Kieron Pollard,106,80,198,1740,56,Apr-44,31.07,8.78,21.21,1,0
35,Sandeep Sharma,43,43,156.1,1189,54,Apr-25,22.01,7.61,17.35,1,0
36,James Faulkner,52,52,178.1,1520,53,May-16,28.67,8.53,20.16,0,2
37,Mitchell Johnson,43,43,164.2,1345,52,Mar-27,25.86,8.18,18.96,0,0
38,Shadab Jakati,57,55,175.5,1398,47,Apr-22,29.74,7.95,22.44,2,0
39,Anil Kumble,42,42,160.5,1058,45,05-May,23.51,6.57,21.44,2,1
40,Ryan Harris,37,37,138.4,1047,45,Apr-34,23.26,7.55,18.48,1,0
41,Shakib Al Hasan,42,41,150.3,1070,43,Mar-17,24.88,7.1,21,0,0
42,Axar Patel,45,45,160.3,1185,43,Apr-21,27.55,7.38,22.39,1,0
43,Yusuf Pathan,134,76,184.2,1351,41,03-Nov,32.95,7.32,26.97,0,0
44,Chris Morris,39,39,136,1020,41,Apr-23,24.87,7.5,19.9,1,0
45,Rahul Sharma,44,44,154.4,1086,40,Mar-13,27.15,7.02,23.2,0,0
46,Sreenath Aravind,28,28,96.1,764,40,Apr-14,19.1,7.94,14.42,2,0
47,Shanthakumaran Sreesanth,44,44,146.4,1194,40,Mar-29,29.85,8.14,22,0,0
48,Parvinder Awana,33,33,124.3,1029,39,Apr-34,26.38,8.26,19.15,1,0
49,Iqbal Abdulla,47,46,148.2,1054,38,Mar-24,27.73,7.1,23.42,0,0
50,Doug Bollinger,27,27,96,693,37,Apr-13,18.72,7.21,15.56,1,0
51,Moises Henriques,45,43,124.2,996,37,Mar-16,26.91,8.01,20.16,0,0
52,Manpreet Gony,43,43,146,1255,37,Mar-31,33.91,8.59,23.67,0,0
53,Karn Sharma,46,46,141.4,1109,36,Apr-38,30.8,7.82,23.61,1,0
54,Yuvraj Singh,108,69,140.5,1032,35,Apr-29,29.48,7.32,24.14,2,0
55,Mitchell McClenaghan,26,26,100.2,822,35,Apr-21,23.48,8.19,17.2,1,0
56,Mitchell Starc,27,26,96.4,693,34,Apr-15,20.38,7.16,17.05,1,0
57,Kevon Cooper,25,25,96,757,33,Apr-26,22.93,7.88,17.45,1,0
58,Jaydev Unadkat,35,34,117.3,986,32,May-25,30.81,8.39,22.03,0,1
59,Shahbaz Nadeem,48,46,168,1200,31,Mar-16,38.7,7.14,32.51,0,0
60,Murali Kartik,56,55,191.3,1388,31,Mar-17,44.77,7.24,37.06,0,0
61,Harshal Patel,35,33,109.5,928,31,02-Dec,29.93,8.44,21.25,0,0
62,Andre Russell,34,34,105.1,896,31,Apr-20,28.9,8.51,20.35,1,0
63,Thisara Perera,37,36,116.2,1016,31,Mar-20,32.77,8.73,22.51,0,0
64,Varun Aaron,36,34,120.4,1056,31,Mar-16,34.06,8.75,23.35,0,0
65,Pradeep Sangwan,33,33,113.4,975,30,Mar-18,32.5,8.57,22.73,0,0
66,Azhar Mahmood,23,23,89.3,700,29,Mar-20,24.13,7.82,18.51,0,0
