T1_Bat_Order,T1_Bow_Order,T2_Bat_Order,T2_Bow_Order
CH Gayle,STR Binny,DR Smith,P Kumar
V Kohli,S Aravind,BB McCullum,DS Kulkarni
AB de Villiers,YS Chahal,RA Jadeja,S Kaushik
SR Watson,SR Watson,KD Karthik,PV Tambe
KL Rahul,CJ Jordan,AJ Finch,DJ Bravo
Sachin Baby,VR Aaron,DJ Bravo,RA Jadeja
STR Binny,V Kohli,AD Nath,DR Smith
CJ Jordan,CH Gayle,P Kumar,
S Aravind,Sachin Baby,DS Kulkarni,
VR Aaron,,PV Tambe,
YS Chahal,,S Kaushik,
