DNT Zoysa,242,3,3,11.0,99,2,1/30,49.5,9.0,33.0,0,0,0
Ankit Rajpoot,213,6,6,15.0,133,4,1/14,33.25,8.86,22.5,0,0,0
Chamara Kapugedera,323,5,3,2.5,49,0,0/0,0.0,17.29,0.0,0,0,0
Krishnakant Upadhyay,302,3,3,9.0,81,0,0/0,0.0,9.0,0.0,0,0,0
Michael Neser,319,1,1,4.0,62,0,0/62,0.0,15.5,0.0,0,0,0
Sachin Tendulkar,304,78,4,6.0,58,0,0/0,0.0,9.66,0.0,0,0,0
Harmeet Singh,263,1,1,4.0,34,1,1/34,34.0,8.5,24.0,0,0,0
Amit Uniyal,250,2,2,6.0,66,2,2/41,33.0,11.0,18.0,0,0,0
Jeevan Mendis,260,3,2,5.0,36,1,1/16,36.0,7.2,30.0,0,0,0
Bharat Chipli,327,23,1,1.0,20,0,0/0,0.0,20.0,0.0,0,0,0
Aditya Dole,198,3,3,11.0,112,5,2/36,22.4,10.18,13.2,0,0,0
Jimmy Neesham,271,4,4,9.0,91,1,1/29,91.0,10.11,54.0,0,0,0
P Prasanth,325,1,1,1.0,18,0,0/18,0.0,18.0,0.0,0,0,0
Nuwan Kulasekara,188,6,5,17.0,120,5,2/10,24.0,7.05,20.4,0,0,0
PM Sarvesh Kumar,262,2,2,5.0,42,1,1/18,42.0,8.4,30.0,0,0,0
Nayan Doshi,240,4,4,9.2,79,2,1/15,39.5,8.46,28.0,0,0,0
Scott Boland,239,2,2,7.0,54,2,2/31,27.0,7.71,21.0,0,0,0
Shardul Thakur,284,1,1,3.0,38,1,1/38,38.0,12.66,18.0,0,0,0
RS Gavaskar,294,2,1,1.0,8,0,0/0,0.0,8.0,0.0,0,0,0
T Thushara,154,6,6,22.3,161,8,2/16,20.12,7.15,16.87,0,0,0
Lendl Simmons,279,22,1,3.0,34,1,0/0,34.0,11.33,18.0,0,0,0
Akshath Reddy,276,12,1,3.0,32,1,0/0,32.0,10.66,18.0,0,0,0
Adam Zampa,122,5,5,17.0,115,12,6/19,9.58,6.76,8.5,0,1,0
Krishmar Santokie,233,2,2,8.0,90,3,2/50,30.0,11.25,16.0,0,0,0
S Vidyut,278,9,1,2.0,22,1,0/0,22.0,11.0,12.0,0,0,0
John Hastings,219,3,3,9.4,66,3,2/6,22.0,6.82,19.33,0,0,0
Ryan Ninan,232,2,2,6.0,65,3,2/31,21.66,10.83,12.0,0,0,0
Ronit More,272,2,2,5.5,59,1,1/31,59.0,10.11,35.0,0,0,0
Ashley Noffke,270,1,1,4.0,40,1,1/40,40.0,10.0,24.0,0,0,0
Ryan ten Doeschate,237,29,10,13.0,94,2,1/7,47.0,7.23,39.0,0,0,0
Andre Nel,275,1,1,3.0,31,1,1/31,31.0,10.33,18.0,0,0,0
Tabraiz Shamsi,227,4,4,16.0,147,3,1/21,49.0,9.18,32.0,0,0,0
Clint McKay,264,2,2,7.0,60,1,1/36,60.0,8.57,42.0,0,0,0
Sachin Baby,234,15,2,1.4,8,2,0/0,4.0,4.8,5.0,0,0,0
Shreyas Gopal,166,6,6,19.1,154,7,2/25,22.0,8.03,16.42,0,0,0
Ben Laughlin,273,2,2,7.0,71,1,1/25,71.0,10.14,42.0,0,0,0
JM Kemp,221,5,5,7.2,54,3,3/12,18.0,7.36,14.66,0,0,0
Deepak Chahar,298,2,2,5.0,41,0,0/0,0.0,8.2,0.0,0,0,0
Steve Smith,318,54,1,0.2,5,0,0/0,0.0,15.0,0.0,0,0,0
Y Gnaneswara Rao,291,2,1,1.0,7,0,0/0,0.0,7.0,0.0,0,0,0
Abrar Kazi,308,1,1,2.0,21,0,0/21,0.0,10.5,0.0,0,0,0
Ambati Rayudu,292,109,1,3.0,22,0,0/0,0.0,7.33,0.0,0,0,0
Mandeep Singh,261,59,1,3.0,23,1,0/0,23.0,7.66,18.0,0,0,0
Murali Vijay,297,100,4,6.0,49,0,0/0,0.0,8.16,0.0,0,0,0
Kemar Roach,307,2,2,8.0,80,0,0/0,0.0,10.0,0.0,0,0,0
Sunny Gupta,320,1,1,3.0,47,0,0/47,0.0,15.66,0.0,0,0,0
Daniel Harris,301,4,2,3.0,26,0,0/0,0.0,8.66,0.0,0,0,0
Shikhar Dhawan,208,113,6,8.0,66,4,1/7,16.5,8.25,12.0,0,0,0
Ross Taylor,313,55,2,2.0,24,0,0/0,0.0,12.0,0.0,0,0,0
Hanuma Vihari,257,22,5,6.0,38,1,1/5,38.0,6.33,36.0,0,0,0
Nitish Rana,285,4,1,1.0,3,0,0/0,0.0,3.0,0.0,0,0,0
Shrikant Wagh,191,8,8,17.0,137,5,3/16,27.4,8.05,20.4,0,0,0
Adam Milne,277,1,1,4.0,43,1,1/43,43.0,10.75,24.0,0,0,0
Siddharth Chitnis,245,11,2,6.0,60,2,2/40,30.0,10.0,18.0,0,0,0
Andrew Flintoff,244,3,3,11.0,105,2,1/11,52.5,9.54,33.0,0,0,0
Dinesh Salunkhe,269,6,5,7.5,78,1,1/21,78.0,9.95,47.0,0,0,0
Dominic Thornely,218,6,4,7.0,40,3,2/7,13.33,5.71,14.0,0,0,0
Brett Geeves,280,2,2,8.0,91,1,1/50,91.0,11.37,48.0,0,0,0
Abdur Razzak,316,1,1,2.0,29,0,0/29,0.0,14.5,0.0,0,0,0
Adam Gilchrist,252,80,1,0.1,0,1,1/0,0.0,0.0,1.0,0,0,0
Cameron White,283,47,6,7.0,86,1,1/14,86.0,12.28,42.0,0,0,0
C Ganapathy,315,1,1,1.0,13,0,0/13,0.0,13.0,0.0,0,0,0
JJ van der Wath,231,3,3,12.0,129,3,2/49,43.0,10.75,24.0,0,0,0
Ben Rohrer,312,8,1,1.0,12,0,0/0,0.0,12.0,0.0,0,0,0
Nathan Rimmington,287,1,1,3.0,19,0,0/19,0.0,6.33,0.0,0,0,0
Faiz Fazal,306,12,2,2.0,20,0,0/0,0.0,10.0,0.0,0,0,0
Gurinder Sandhu,274,3,2,8.0,82,1,1/33,82.0,10.25,48.0,0,0,0
Shoaib Akhtar,190,3,3,7.0,54,5,4/11,10.8,7.71,8.4,1,0,0
Lasith Malinga,1,98,98,381.3,2546,143,5/13,17.8,6.67,16.0,4,1,1
Ravichandran Ashwin,7,111,108,381.4,2500,100,4/34,25.0,6.55,22.9,1,0,1
Albie Morkel,15,91,87,287.1,2359,85,4/32,27.75,8.21,20.27,1,0,1
Z Khan,10,89,88,326.3,2469,92,4/17,26.83,7.56,21.29,1,0,1
Ashish Nehra,8,82,82,296.5,2298,98,4/10,23.44,7.74,18.17,1,0,1
Umesh Yadav,22,80,79,273.5,2297,74,4/24,31.04,8.38,22.2,1,0,1
Pragyan Ojha,12,92,90,316.3,2332,89,3/11,26.2,7.36,21.33,0,0,1
Jacques Kallis,29,98,89,290.2,2293,65,3/13,35.27,7.89,26.8,0,0,1
RP Singh,11,82,82,295.5,2338,90,4/22,25.97,7.9,19.72,2,0,1
Dale Steyn,9,90,90,343.0,2306,92,3/8,25.06,6.72,22.36,0,0,1
Irfan Pathan,18,102,100,338.3,2623,80,3/24,32.78,7.74,25.38,0,0,1
Joginder Sharma,129,16,15,42.4,419,12,2/27,34.91,9.82,21.33,0,0,2
Yo Mahesh,88,18,17,56.3,499,21,4/36,23.76,8.83,16.14,1,0,2
Abhimanyu Mithun,171,16,16,48.0,472,7,2/37,67.42,9.83,41.14,0,0,2
MF Maharoof,73,20,20,70.0,520,27,3/34,19.25,7.42,15.55,0,0,2
Roelof van der Merwe,86,21,21,73.5,498,21,3/20,23.71,6.74,21.09,0,0,2
Bipul Sharma,113,26,21,54.4,443,14,2/13,31.64,8.1,23.42,0,0,2
P Negi,114,29,24,72.0,591,14,4/18,42.21,8.2,30.85,1,0,2
Brad Hogg,82,21,21,76.2,570,23,4/29,24.78,7.46,19.91,1,0,2
Bhargav Bhatt,124,17,15,49.2,397,12,4/22,33.08,8.04,24.66,1,0,2
Ankit Sharma,123,20,19,59.1,423,12,2/20,35.25,7.14,29.58,0,0,2
D Wiese,107,15,14,46.2,402,16,4/33,25.12,8.67,17.37,1,0,2
Ben Hilfenhaus,85,17,17,62.0,479,22,3/27,21.77,7.72,16.9,0,0,2
Ishwar Pandey,95,25,24,77.0,591,18,2/23,32.83,7.67,25.66,0,0,2
Pankaj Singh,136,20,17,50.0,468,11,2/18,42.54,9.36,27.27,0,0,2
Kane Richardson,98,14,14,52.5,443,18,3/13,24.61,8.38,17.61,0,0,2
Sanath Jayasuriya,120,30,21,49.0,390,13,3/14,30.0,7.95,22.61,0,0,2
Nathan Coulter-Nile,87,18,17,65.3,491,21,4/20,23.38,7.49,18.71,1,0,2
Alfonso Thomas,112,15,15,52.3,406,14,3/22,29.0,7.73,22.5,0,0,2
Mitchell Marsh,90,20,18,52.3,414,20,4/25,20.7,7.88,15.75,1,0,2
Barinder Sran,115,15,15,52.3,448,14,3/28,32.0,8.53,22.5,0,0,2
Laxmi Ratan Shukla,109,48,27,52.2,447,15,3/6,29.8,8.54,20.93,0,0,2
Anureet Singh,105,19,18,62.4,555,17,3/23,32.64,8.85,22.11,0,0,2
Ryan McLaren,127,18,18,59.0,542,12,2/28,45.16,9.18,29.5,0,0,2
Rohit Sharma,108,142,30,55.2,440,15,4/6,29.33,7.95,22.13,1,0,2
DR Smith,104,64,23,48.0,419,17,4/8,24.64,8.72,16.94,1,0,2
David Hussey,161,64,26,52.5,474,8,2/2,59.25,8.97,39.62,0,0,2
Shalabh Srivastava,117,14,14,47.0,441,14,2/20,31.5,9.38,20.14,0,0,2
VRV Singh,126,19,18,60.0,542,12,3/29,45.16,9.03,30.0,0,0,2
James Hopes,116,21,20,60.0,548,14,2/2,39.14,9.13,25.71,0,0,2
Mustafizur Rahman,100,16,16,61.0,421,17,3/16,24.76,6.9,21.52,0,0,2
Ramesh Powar,119,27,26,71.0,527,13,2/11,40.53,7.42,32.76,0,0,2
James Faulkner,36,52,52,178.1,1520,53,5/16,28.67,8.53,20.16,0,2,3
Yusuf Pathan,43,134,76,184.2,1351,41,3/11,32.95,7.32,26.97,0,0,3
Shane Warne,32,55,54,199.0,1447,57,4/21,25.38,7.27,20.94,1,0,3
Shadab Jakati,38,57,55,175.5,1398,47,4/22,29.74,7.95,22.44,2,0,3
Mitchell Johnson,37,43,43,164.2,1345,52,3/27,25.86,8.18,18.96,0,0,3
Manpreet Gony,52,43,43,146.0,1255,37,3/31,33.91,8.59,23.67,0,0,3
Murali Kartik,60,56,55,191.3,1388,31,3/17,44.77,7.24,37.06,0,0,3
YS Chahal,33,43,42,155.0,1236,56,4/25,22.07,7.97,16.6,1,0,3
