Batsman,Bowler,0s,1s,2s,3s,4s,6s,Dismissal,Runs,Balls,SR
WP Saha,P Kumar,7,1,2,0,1,1,0,15,12,125.00
WP Saha,DJ Hussey,0,3,0,0,0,0,0,3,3,100.00
WP Saha,P Awana,2,0,0,0,0,0,1,0,3,0.00
MEK Hussey,DJ Hussey,2,6,1,0,0,0,0,8,9,88.88
MEK Hussey,P Awana,3,2,1,0,1,0,0,8,7,114.28
MEK Hussey,PP Chawla,2,3,2,0,0,0,1,7,8,87.50
MEK Hussey,MS Gony,0,2,1,0,2,0,0,12,5,240.00
SK Raina,P Kumar,2,3,3,0,0,2,0,21,10,210.00
SK Raina,DJ Hussey,4,5,0,0,2,1,0,19,12,158.33
SK Raina,P Awana,2,3,2,0,0,0,0,7,7,100.00
SK Raina,PP Chawla,3,6,1,0,2,1,0,22,13,169.23
SK Raina,MS Gony,0,3,0,0,0,2,0,15,5,300.00
SK Raina,R Sathish,0,2,1,0,3,0,0,16,6,266.66
MS Dhoni,PP Chawla,0,1,0,0,0,0,0,1,1,100.00
MS Dhoni,R Sathish,0,1,0,0,0,0,0,1,1,100.00
JA Morkel,P Kumar,0,1,0,0,0,0,0,1,1,100.00
JA Morkel,P Awana,2,1,0,0,2,0,1,9,6,150.00
JA Morkel,PP Chawla,0,2,0,0,0,0,0,2,2,100.00
JA Morkel,MS Gony,0,2,0,0,0,0,0,2,2,100.00
JA Morkel,R Sathish,1,3,0,0,0,1,0,9,5,180.00
RA Jadeja,P Kumar,0,1,0,0,0,0,0,1,1,100.00
RA Jadeja,P Awana,0,0,0,0,1,0,0,4,1,400.00
LA Pomersbach,JA Morkel,2,1,1,0,0,0,0,3,4,75.00
LA Pomersbach,MM Sharma,3,0,0,0,1,0,1,4,5,80.00
Mandeep Singh,JA Morkel,3,4,0,0,1,0,0,8,8,100.00
Mandeep Singh,MM Sharma,2,3,0,0,1,0,1,7,7,100.00
SE Marsh,JA Morkel,4,4,0,0,1,0,0,8,9,88.88
SE Marsh,MM Sharma,3,3,0,0,3,0,0,15,9,166.66
SE Marsh,R Ashwin,3,6,0,0,0,0,0,6,9,66.66
SE Marsh,CH Morris,1,6,0,0,1,0,0,10,8,125.00
SE Marsh,SK Raina,0,1,0,0,1,2,0,17,4,425.00
SE Marsh,DJ Bravo,2,5,2,0,2,0,1,17,12,141.66
DJ Hussey,JA Morkel,2,1,0,0,0,0,0,1,3,33.33
DJ Hussey,MM Sharma,1,1,0,0,1,0,0,5,3,166.66
DJ Hussey,R Ashwin,2,2,1,0,0,1,1,10,7,142.85
DJ Hussey,CH Morris,0,2,0,0,1,0,0,6,3,200.00
DA Miller,R Ashwin,0,5,1,0,1,1,0,17,8,212.50
DA Miller,CH Morris,1,3,0,0,3,0,0,15,7,214.28
DA Miller,SK Raina,0,2,0,0,0,0,0,2,2,100.00
DA Miller,DJ Bravo,1,5,1,0,1,1,0,17,9,188.88
Gurkeerat Singh,DJ Bravo,0,0,0,0,0,0,1,0,1,0.00
R Sathish,DJ Bravo,0,0,0,0,0,0,1,0,1,0.00
MS Gony,DJ Bravo,1,0,0,0,0,0,0,0,1,0.00
