Batsman,Bowler,0s,1s,2s,3s,4s,6s,Dismissal,Runs,Balls,SR
NV Ojha,P Kumar,3,3,0,0,0,0,0,3,6,50.00
NV Ojha,DW Steyn,4,1,0,2,0,0,0,7,7,100.00
NV Ojha,R Vinay Kumar,1,2,0,0,1,0,0,6,4,150.00
NV Ojha,JH Kallis,0,0,0,0,0,0,1,0,1,0.00
MJ Lumb,P Kumar,3,2,0,0,1,0,0,6,6,100.00
MJ Lumb,DW Steyn,4,1,0,0,0,0,0,1,5,20.00
MJ Lumb,R Vinay Kumar,1,1,0,0,0,0,0,1,2,50.00
MJ Lumb,JH Kallis,1,2,0,0,0,0,0,2,3,66.66
MJ Lumb,A Kumble,1,0,0,0,0,0,1,0,2,0.00
DR Martyn,P Kumar,0,0,0,0,1,0,1,4,2,200.00
DR Martyn,DW Steyn,1,2,0,0,0,0,0,2,3,66.66
DR Martyn,R Vinay Kumar,0,2,0,0,0,0,0,2,2,100.00
DR Martyn,JH Kallis,2,7,0,0,0,0,0,7,9,77.77
DR Martyn,A Kumble,4,4,0,0,0,0,0,4,8,50.00
AA Jhunjhunwala,JH Kallis,2,0,0,0,1,0,1,4,4,100.00
AA Jhunjhunwala,A Kumble,2,1,0,0,0,0,0,1,3,33.33
YK Pathan,DW Steyn,6,1,1,0,1,0,0,7,9,77.77
YK Pathan,R Vinay Kumar,3,0,0,0,0,2,0,12,5,240.00
YK Pathan,JH Kallis,3,5,0,0,0,0,0,5,8,62.50
YK Pathan,A Kumble,0,2,0,0,0,0,0,2,2,100.00
P Dogra,P Kumar,0,0,0,0,0,0,1,0,1,0.00
P Dogra,R Vinay Kumar,4,1,0,0,0,0,0,1,5,20.00
P Dogra,A Kumble,1,2,0,0,0,0,0,2,3,66.66
S Narwal,P Kumar,0,0,0,0,0,0,1,0,1,0.00
SK Warne,P Kumar,0,1,0,0,0,0,0,1,1,100.00
SK Warne,R Vinay Kumar,3,1,1,0,0,0,0,3,5,60.00
SK Warne,A Kumble,0,0,0,0,0,0,1,0,1,0.00
M Morkel,P Kumar,6,0,1,0,0,0,0,2,7,28.57
M Morkel,R Vinay Kumar,1,0,0,0,0,0,0,0,1,0.00
M Morkel,A Kumble,0,0,0,0,0,0,1,0,1,0.00
MM Patel,A Kumble,2,0,0,0,0,0,0,0,2,0.00
SK Trivedi,A Kumble,1,0,0,0,0,0,0,0,1,0.00
MK Pandey,MM Patel,6,2,1,0,4,0,0,20,13,153.84
MK Pandey,M Morkel,1,2,0,0,0,0,0,2,3,66.66
MK Pandey,SK Warne,5,1,0,0,2,0,0,9,8,112.50
MK Pandey,S Narwal,3,1,0,0,1,1,0,11,6,183.33
JH Kallis,MM Patel,2,3,0,0,0,0,0,3,5,60.00
JH Kallis,M Morkel,5,4,0,0,6,0,0,28,15,186.66
JH Kallis,SK Warne,1,3,0,0,0,0,0,3,4,75.00
JH Kallis,S Narwal,4,4,1,0,1,0,0,10,10,100.00
