Batsman,Bowler,0s,1s,2s,3s,4s,6s,Dismissal,Runs,Balls,SR
PA Patel,P Kumar,3,3,0,0,1,0,0,7,7,100.00
PA Patel,DW Steyn,4,2,1,0,0,1,0,10,8,125.00
PA Patel,JH Kallis,0,3,0,0,1,0,0,7,4,175.00
PA Patel,R Vinay Kumar,1,1,1,0,0,0,0,3,3,100.00
PA Patel,A Kumble,0,3,0,0,0,0,0,3,3,100.00
PA Patel,KP Pietersen,0,0,0,0,0,0,1,0,1,0.00
ML Hayden,P Kumar,1,1,0,1,1,1,0,14,5,280.00
ML Hayden,DW Steyn,2,1,1,0,0,0,0,3,4,75.00
ML Hayden,JH Kallis,1,3,0,0,3,1,0,21,8,262.50
ML Hayden,R Vinay Kumar,0,1,0,0,2,0,0,9,3,300.00
ML Hayden,V Kohli,3,1,0,0,2,0,0,9,6,150.00
ML Hayden,A Kumble,4,3,1,0,1,0,0,9,9,100.00
SK Raina,P Kumar,1,3,0,0,1,1,1,13,7,185.71
SK Raina,DW Steyn,1,1,0,0,0,0,0,1,2,50.00
SK Raina,A Kumble,3,5,0,0,0,0,0,5,8,62.50
SK Raina,KP Pietersen,4,5,0,0,0,0,0,5,9,55.55
SK Raina,LRPL Taylor,0,2,1,0,0,0,0,4,3,133.33
MS Dhoni,P Kumar,1,1,0,0,0,0,1,1,3,33.33
MS Dhoni,A Kumble,0,4,0,0,0,0,0,4,4,100.00
MS Dhoni,KP Pietersen,1,3,0,0,0,0,0,3,4,75.00
MS Dhoni,LRPL Taylor,0,2,0,0,0,1,0,8,3,266.66
A Flintoff,P Kumar,0,2,0,0,0,0,0,2,2,100.00
A Flintoff,DW Steyn,1,4,0,0,1,1,0,14,7,200.00
A Flintoff,KP Pietersen,1,2,0,0,1,0,0,6,4,150.00
JA Morkel,DW Steyn,0,1,0,0,1,0,1,5,3,166.66
P Kumar,MS Gony,2,0,0,0,0,0,1,0,3,0.00
RV Uthappa,MS Gony,1,3,0,0,1,0,0,7,5,140.00
RV Uthappa,L Balaji,1,0,0,0,0,0,0,0,1,0.00
RV Uthappa,JA Morkel,2,1,1,1,1,0,0,10,6,166.66
RV Uthappa,A Flintoff,2,2,0,0,0,0,0,2,4,50.00
RV Uthappa,M Muralitharan,1,1,0,0,0,0,1,1,3,33.33
JH Kallis,MS Gony,4,3,0,0,3,0,0,15,10,150.00
JH Kallis,L Balaji,2,1,0,0,2,0,0,9,5,180.00
JH Kallis,JA Morkel,3,0,0,0,0,0,1,0,4,0.00
LRPL Taylor,JA Morkel,1,1,0,0,0,0,0,1,2,50.00
LRPL Taylor,A Flintoff,1,0,0,0,0,0,1,0,2,0.00
KP Pietersen,M Muralitharan,0,0,0,0,0,0,1,0,1,0.00
R Dravid,L Balaji,1,2,1,0,1,0,1,8,6,133.33
R Dravid,A Flintoff,2,3,0,0,1,0,0,7,6,116.66
R Dravid,M Muralitharan,0,3,0,0,0,0,0,3,3,100.00
R Dravid,Joginder Sharma,1,2,0,0,0,0,0,2,3,66.66
V Kohli,A Flintoff,3,1,0,0,0,0,0,1,4,25.00
V Kohli,M Muralitharan,4,1,1,0,0,0,0,3,6,50.00
V Kohli,Joginder Sharma,0,1,0,0,0,1,1,7,3,233.33
R Bishnoi,M Muralitharan,0,0,0,0,0,0,1,0,1,0.00
R Vinay Kumar,L Balaji,0,1,0,0,0,0,1,1,2,50.00
R Vinay Kumar,M Muralitharan,2,0,2,0,0,0,0,4,4,100.00
DW Steyn,M Muralitharan,3,0,0,0,0,0,0,0,3,0.00
A Kumble,A Flintoff,1,1,0,0,0,0,0,1,2,50.00
A Kumble,M Muralitharan,3,0,0,0,0,0,0,0,3,0.00
