Batsman,Bowler,0s,1s,2s,3s,4s,6s,Dismissal,Runs,Balls,SR
MS Bisla,DW Steyn,6,2,0,0,1,0,0,6,9,66.66
MS Bisla,Anand Rajan,5,1,0,0,1,0,0,5,7,71.42
MS Bisla,NLTC Perera,0,0,0,0,1,0,1,4,2,200.00
G Gambhir,DW Steyn,2,1,0,0,0,0,0,1,3,33.33
G Gambhir,Anand Rajan,4,2,2,0,0,0,0,6,8,75.00
G Gambhir,NLTC Perera,0,2,0,0,0,0,0,2,2,100.00
G Gambhir,DJG Sammy,2,1,0,0,0,0,0,1,3,33.33
G Gambhir,A Mishra,1,0,0,0,0,0,0,0,1,0.00
JH Kallis,DW Steyn,0,0,0,0,0,0,1,0,1,0.00
JH Kallis,Anand Rajan,2,1,0,0,0,0,0,1,3,33.33
JH Kallis,NLTC Perera,2,4,0,0,0,0,0,4,6,66.66
JH Kallis,DJG Sammy,1,0,0,0,2,0,0,8,3,266.66
JH Kallis,A Mishra,4,4,0,1,0,0,0,7,9,77.77
JH Kallis,KV Sharma,4,2,1,0,0,0,0,4,7,57.14
EJG Morgan,A Mishra,0,4,0,0,0,0,0,4,4,100.00
EJG Morgan,KV Sharma,2,1,0,0,1,0,1,5,5,100.00
YK Pathan,DW Steyn,1,2,1,0,0,1,0,10,5,200.00
YK Pathan,Anand Rajan,1,0,0,0,0,1,0,6,2,300.00
YK Pathan,NLTC Perera,2,4,1,0,2,1,0,20,10,200.00
YK Pathan,A Mishra,1,3,2,0,0,0,0,7,6,116.66
YK Pathan,KV Sharma,3,2,0,0,1,0,0,6,6,100.00
RN ten Doeschate,DW Steyn,3,1,0,0,0,0,0,1,4,25.00
RN ten Doeschate,A Mishra,0,0,0,0,0,0,1,0,1,0.00
P Dogra,DW Steyn,0,0,0,0,0,0,1,0,1,0.00
P Dogra,NLTC Perera,2,1,1,0,0,0,0,3,4,75.00
P Dogra,A Mishra,1,2,0,0,0,0,0,2,3,66.66
SP Narine,DW Steyn,0,1,0,0,0,0,0,1,1,100.00
SP Narine,Anand Rajan,0,0,0,0,0,0,1,0,1,0.00
Iqbal Abdulla,Anand Rajan,1,2,0,0,0,0,0,2,3,66.66
PA Patel,YK Pathan,4,7,0,0,2,0,0,15,13,115.38
PA Patel,PJ Sangwan,0,2,0,0,3,0,0,14,5,280.00
PA Patel,SP Narine,4,3,0,0,1,0,0,7,8,87.50
PA Patel,Mohammed Shami,2,4,0,0,0,0,0,4,6,66.66
PA Patel,JH Kallis,0,1,0,0,0,0,0,1,1,100.00
PA Patel,Iqbal Abdulla,0,2,0,0,1,0,1,6,4,150.00
S Dhawan,YK Pathan,4,5,1,0,0,1,0,13,11,118.18
S Dhawan,PJ Sangwan,5,1,1,0,0,0,0,3,7,42.85
S Dhawan,SP Narine,3,1,0,0,0,0,0,1,4,25.00
S Dhawan,Mohammed Shami,1,3,1,0,2,0,0,13,7,185.71
S Dhawan,JH Kallis,1,2,0,0,1,1,0,12,5,240.00
S Dhawan,Iqbal Abdulla,0,0,0,0,0,0,1,0,1,0.00
GH Vihari,SP Narine,0,1,0,0,0,0,0,1,1,100.00
GH Vihari,Mohammed Shami,4,1,0,0,0,0,0,1,5,20.00
GH Vihari,Iqbal Abdulla,2,4,0,0,0,0,1,4,7,57.14
CL White,SP Narine,2,0,0,0,0,0,0,0,2,0.00
CL White,Iqbal Abdulla,0,2,0,0,0,0,0,2,2,100.00
NLTC Perera,SP Narine,2,1,0,0,0,0,0,1,3,33.33
NLTC Perera,Mohammed Shami,0,2,0,0,0,0,1,2,3,66.66
NLTC Perera,Iqbal Abdulla,3,1,0,0,0,0,0,1,4,25.00
DJG Sammy,SP Narine,6,0,0,0,0,0,0,0,6,0.00
DJG Sammy,Mohammed Shami,0,2,0,0,0,0,0,2,2,100.00
DJG Sammy,Iqbal Abdulla,0,1,1,0,0,2,0,15,4,375.00
BB Samantray,Mohammed Shami,0,0,0,0,1,0,0,4,1,400.00
BB Samantray,Iqbal Abdulla,0,1,0,0,0,0,0,1,1,100.00
