Batsman,Bowler,0s,1s,2s,3s,4s,6s,Dismissal,Runs,Balls,SR
LMP Simmons,WD Parnell,3,1,1,0,1,0,0,7,6,116.66
LMP Simmons,S Kaul,2,2,0,0,1,0,0,6,5,120.00
LMP Simmons,JD Unadkat,0,2,0,0,0,0,0,2,2,100.00
LMP Simmons,S Nadeem,1,2,0,0,0,0,0,2,3,66.66
LMP Simmons,JP Duminy,1,2,1,0,0,0,0,4,4,100.00
LMP Simmons,Imran Tahir,0,0,1,0,3,0,1,14,5,280.00
MEK Hussey,WD Parnell,2,2,0,0,2,0,0,10,6,166.66
MEK Hussey,S Kaul,2,2,0,0,3,0,0,14,7,200.00
MEK Hussey,JD Unadkat,1,1,0,0,2,0,0,9,4,225.00
MEK Hussey,S Nadeem,0,4,0,0,0,1,0,10,5,200.00
MEK Hussey,JP Duminy,2,4,0,0,0,0,0,4,6,66.66
MEK Hussey,Imran Tahir,1,3,0,0,0,1,0,9,5,180.00
RG Sharma,JD Unadkat,0,0,0,0,1,0,1,4,2,200.00
RG Sharma,S Nadeem,1,4,0,0,1,0,0,8,6,133.33
RG Sharma,JP Duminy,3,4,2,0,2,0,0,16,11,145.45
RG Sharma,Imran Tahir,0,2,0,0,0,0,0,2,2,100.00
KA Pollard,JD Unadkat,0,0,0,0,0,0,1,0,1,0.00
KA Pollard,S Nadeem,1,2,1,0,0,0,0,4,4,100.00
KA Pollard,JP Duminy,1,1,0,0,0,1,0,7,3,233.33
AT Rayudu,JD Unadkat,0,1,0,0,0,0,0,1,1,100.00
AT Rayudu,S Nadeem,0,1,0,0,0,0,1,1,2,50.00
AP Tare,JD Unadkat,0,0,0,0,2,0,0,8,2,400.00
AP Tare,S Nadeem,1,2,0,0,0,0,0,2,3,66.66
AP Tare,Imran Tahir,1,0,0,0,1,0,1,4,3,133.33
Harbhajan Singh,WD Parnell,0,0,0,0,0,0,1,0,1,0.00
Harbhajan Singh,S Nadeem,0,1,0,0,0,0,0,1,1,100.00
Harbhajan Singh,Imran Tahir,0,1,0,0,0,0,0,1,1,100.00
S Gopal,WD Parnell,1,3,0,0,1,0,0,7,5,140.00
S Gopal,Imran Tahir,1,4,0,0,0,0,0,4,5,80.00
M de Lange,WD Parnell,0,1,0,0,0,0,0,1,1,100.00
M de Lange,Imran Tahir,0,0,0,0,0,0,1,0,1,0.00
PP Ojha,Imran Tahir,0,2,0,0,0,0,0,2,2,100.00
JJ Bumrah,WD Parnell,2,0,0,0,0,0,0,0,2,0.00
M Vijay,JJ Bumrah,2,0,1,0,0,0,0,2,3,66.66
M Vijay,M de Lange,0,1,0,0,0,0,0,1,1,100.00
M Vijay,PP Ojha,2,3,1,0,0,0,0,5,6,83.33
M Vijay,S Gopal,1,0,0,0,0,0,1,0,2,0.00
KP Pietersen,JJ Bumrah,4,2,1,0,1,1,0,14,9,155.55
KP Pietersen,M de Lange,1,1,0,0,3,0,0,13,5,260.00
KP Pietersen,PP Ojha,2,3,0,0,1,0,0,7,6,116.66
KP Pietersen,S Gopal,0,2,0,0,0,0,0,2,2,100.00
KP Pietersen,Harbhajan Singh,4,2,1,0,1,0,1,8,9,88.88
KD Karthik,M de Lange,1,1,0,0,0,0,1,1,3,33.33
KD Karthik,S Gopal,6,1,0,0,1,0,0,5,8,62.50
KD Karthik,Harbhajan Singh,1,1,0,0,0,0,0,1,2,50.00
MK Tiwary,JJ Bumrah,2,1,0,0,1,0,0,5,4,125.00
MK Tiwary,M de Lange,2,3,0,0,1,0,1,7,7,100.00
MK Tiwary,PP Ojha,2,4,0,0,0,1,0,10,7,142.85
MK Tiwary,S Gopal,0,1,0,0,1,0,0,5,2,250.00
MK Tiwary,Harbhajan Singh,4,2,1,0,2,0,0,12,9,133.33
MK Tiwary,KA Pollard,0,2,0,0,0,0,0,2,2,100.00
JP Duminy,JJ Bumrah,0,4,0,0,0,1,0,10,5,200.00
JP Duminy,M de Lange,1,6,0,0,0,0,0,6,7,85.71
JP Duminy,PP Ojha,0,4,0,0,0,1,0,10,5,200.00
JP Duminy,S Gopal,1,2,0,0,0,1,0,8,4,200.00
JP Duminy,Harbhajan Singh,0,3,0,0,0,1,0,9,4,225.00
JP Duminy,KA Pollard,2,2,0,0,0,0,0,2,4,50.00
KM Jadhav,JJ Bumrah,1,1,0,0,1,0,0,5,3,166.66
KM Jadhav,M de Lange,1,0,1,0,0,0,0,2,2,100.00
