Batsman,Bowler,0s,1s,2s,3s,4s,6s,Dismissal,Runs,Balls,SR
DR Smith,M Muralitharan,1,1,0,0,0,0,0,1,2,50.00
DR Smith,MA Starc,3,1,0,0,0,0,0,1,4,25.00
DR Smith,VR Aaron,1,2,0,0,1,0,1,6,5,120.00
DR Smith,AN Ahmed,3,1,0,0,0,0,0,1,4,25.00
BB McCullum,M Muralitharan,3,0,0,0,0,1,0,6,4,150.00
BB McCullum,MA Starc,2,0,0,0,0,0,0,0,2,0.00
BB McCullum,VR Aaron,1,1,0,0,1,1,1,11,5,220.00
BB McCullum,AN Ahmed,0,2,0,0,0,0,0,2,2,100.00
SK Raina,M Muralitharan,0,4,1,0,1,0,0,10,6,166.66
SK Raina,MA Starc,3,4,1,0,2,0,0,14,10,140.00
SK Raina,VR Aaron,0,2,0,0,2,0,0,10,4,250.00
SK Raina,AN Ahmed,2,6,2,0,0,0,0,10,10,100.00
SK Raina,YS Chahal,8,5,0,0,0,1,0,11,14,78.57
SK Raina,S Rana,1,1,1,0,1,0,0,7,4,175.00
DJ Hussey,M Muralitharan,4,4,0,0,1,0,1,8,10,80.00
DJ Hussey,MA Starc,2,1,0,0,0,0,0,1,3,33.33
DJ Hussey,VR Aaron,3,1,0,0,0,0,0,1,4,25.00
DJ Hussey,AN Ahmed,1,2,0,0,0,0,0,2,3,66.66
DJ Hussey,YS Chahal,1,5,0,0,0,1,0,11,7,157.14
DJ Hussey,S Rana,0,2,0,0,0,0,0,2,2,100.00
MS Dhoni,M Muralitharan,1,0,1,0,0,0,0,2,2,100.00
MS Dhoni,AN Ahmed,0,0,0,0,0,0,1,0,1,0.00
MS Dhoni,YS Chahal,1,1,0,0,1,0,0,5,3,166.66
RA Jadeja,MA Starc,0,3,2,0,0,0,0,7,5,140.00
RA Jadeja,AN Ahmed,1,3,0,0,0,0,0,3,4,75.00
CH Gayle,MM Sharma,3,2,0,0,0,0,0,2,5,40.00
CH Gayle,R Ashwin,9,3,0,0,0,1,1,9,14,64.28
CH Gayle,S Badree,5,4,0,0,0,1,0,10,10,100.00
CH Gayle,SK Raina,6,5,0,0,1,0,0,9,12,75.00
CH Gayle,RA Jadeja,4,1,0,0,2,1,0,15,8,187.50
CH Gayle,DJ Hussey,0,1,0,0,0,0,0,1,1,100.00
PA Patel,MM Sharma,3,0,0,0,2,0,0,8,5,160.00
PA Patel,R Ashwin,6,0,0,0,0,0,1,0,7,0.00
PA Patel,S Badree,0,2,0,0,0,0,0,2,2,100.00
V Kohli,MM Sharma,0,1,1,0,0,0,0,3,2,150.00
V Kohli,R Ashwin,0,1,0,0,0,0,0,1,1,100.00
V Kohli,S Badree,4,2,0,0,0,0,0,2,6,33.33
V Kohli,SK Raina,4,7,0,0,1,0,0,11,12,91.66
V Kohli,RA Jadeja,3,2,1,0,0,1,1,10,8,125.00
AB de Villiers,R Ashwin,1,0,0,0,0,1,0,6,2,300.00
AB de Villiers,RA Jadeja,1,1,0,0,0,0,0,1,2,50.00
AB de Villiers,DJ Hussey,3,1,2,0,1,2,1,21,10,210.00
Yuvraj Singh,RA Jadeja,3,1,1,0,0,0,0,3,5,60.00
Yuvraj Singh,DJ Hussey,0,2,1,0,0,1,0,10,4,250.00
S Rana,RA Jadeja,0,1,0,0,0,0,0,1,1,100.00
S Rana,DJ Hussey,0,0,0,0,0,0,1,0,1,0.00
AN Ahmed,DJ Hussey,0,0,0,0,1,0,0,4,1,400.00
