Batsman,Bowler,0s,1s,2s,3s,4s,6s,Dismissal,Runs,Balls,SR
RV Uthappa,Z Khan,6,3,0,0,2,0,0,11,11,100.00
RV Uthappa,JA Morkel,4,1,1,0,2,0,0,11,8,137.50
RV Uthappa,JP Duminy,1,1,0,0,0,1,0,7,3,233.33
RV Uthappa,A Mishra,6,0,0,0,0,0,1,0,7,0.00
RV Uthappa,Imran Tahir,0,1,1,0,0,0,0,3,2,150.00
G Gambhir,Z Khan,3,2,0,0,0,0,1,2,6,33.33
G Gambhir,JA Morkel,0,1,0,0,0,0,0,1,1,100.00
G Gambhir,JP Duminy,0,1,0,0,2,0,0,9,3,300.00
MK Pandey,Z Khan,0,1,0,0,0,0,0,1,1,100.00
MK Pandey,JA Morkel,1,1,0,0,1,0,0,5,3,166.66
MK Pandey,A Mishra,3,2,0,0,0,0,0,2,5,40.00
MK Pandey,Imran Tahir,1,3,1,0,0,1,0,11,6,183.33
MK Pandey,AD Mathews,1,1,0,0,0,0,0,1,2,50.00
MK Pandey,Yuvraj Singh,0,0,1,0,0,0,1,2,2,100.00
PP Chawla,JA Morkel,1,1,0,0,0,0,1,1,3,33.33
PP Chawla,Imran Tahir,1,1,2,0,0,0,0,5,4,125.00
PP Chawla,AD Mathews,2,2,0,0,1,1,0,12,6,200.00
PP Chawla,Yuvraj Singh,2,4,0,0,0,0,0,4,6,66.66
YK Pathan,JA Morkel,0,2,0,0,1,0,0,6,3,200.00
YK Pathan,A Mishra,2,2,1,0,1,1,0,14,7,200.00
YK Pathan,Imran Tahir,0,2,1,0,1,1,1,14,6,233.33
YK Pathan,AD Mathews,4,0,0,0,0,0,0,0,4,0.00
YK Pathan,Yuvraj Singh,1,2,0,0,0,1,0,8,4,200.00
AD Russell,A Mishra,1,1,0,0,0,0,0,1,2,50.00
AD Russell,Imran Tahir,1,0,0,0,1,0,1,4,3,133.33
SA Yadav,Z Khan,0,1,0,0,0,0,0,1,1,100.00
SA Yadav,A Mishra,1,1,1,0,0,0,0,3,3,100.00
SA Yadav,Imran Tahir,0,3,0,0,0,0,0,3,3,100.00
J Botha,Z Khan,0,1,0,0,4,0,0,17,5,340.00
MK Tiwary,UT Yadav,8,0,0,0,1,0,0,4,9,44.44
MK Tiwary,AD Russell,3,2,0,0,0,0,0,2,5,40.00
MK Tiwary,SP Narine,3,2,0,0,2,0,0,10,7,142.85
MK Tiwary,PP Chawla,0,2,0,0,0,1,1,8,4,200.00
MK Tiwary,GB Hogg,2,1,0,0,0,0,0,1,3,33.33
SS Iyer,UT Yadav,1,2,0,0,0,0,0,2,3,66.66
SS Iyer,AD Russell,7,3,1,0,1,1,0,15,13,115.38
SS Iyer,SP Narine,3,2,0,0,0,0,0,2,5,40.00
SS Iyer,PP Chawla,1,4,0,0,1,1,0,14,7,200.00
SS Iyer,GB Hogg,2,3,0,0,1,0,1,7,7,100.00
JP Duminy,SP Narine,1,4,0,0,1,1,0,14,7,200.00
JP Duminy,PP Chawla,0,3,0,0,0,0,1,3,4,75.00
JP Duminy,GB Hogg,0,2,0,0,0,0,0,2,2,100.00
JP Duminy,J Botha,0,2,0,0,1,0,0,6,3,200.00
KM Jadhav,SP Narine,0,2,0,0,0,0,0,2,2,100.00
KM Jadhav,PP Chawla,0,0,0,0,0,0,1,0,1,0.00
KM Jadhav,J Botha,0,2,0,0,0,1,0,8,3,266.66
Yuvraj Singh,PP Chawla,2,0,0,0,0,0,1,0,3,0.00
AD Mathews,UT Yadav,1,1,0,0,0,0,0,1,2,50.00
AD Mathews,AD Russell,1,1,0,0,1,0,1,5,4,125.00
AD Mathews,SP Narine,2,1,0,0,0,0,0,1,3,33.33
AD Mathews,PP Chawla,0,2,0,0,1,0,0,6,3,200.00
AD Mathews,GB Hogg,0,1,1,0,0,1,0,9,3,300.00
SS Tiwary,UT Yadav,3,2,0,0,3,0,0,14,8,175.00
SS Tiwary,AD Russell,1,1,0,0,0,0,0,1,2,50.00
SS Tiwary,PP Chawla,1,1,0,0,0,0,0,1,2,50.00
SS Tiwary,GB Hogg,0,2,0,0,0,1,0,8,3,266.66
JA Morkel,UT Yadav,0,1,0,0,1,0,0,5,2,250.00
