Batsman,Bowler,0s,1s,2s,3s,4s,6s,Dismissal,Runs,Balls,SR
MA Agarwal,MJ McClenaghan,0,1,0,0,0,0,1,1,2,50.00
SS Iyer,MJ McClenaghan,6,1,0,0,2,2,0,21,11,190.90
SS Iyer,SL Malinga,5,3,1,0,1,0,1,9,11,81.81
SS Iyer,JJ Bumrah,1,3,1,0,2,1,0,19,8,237.50
SS Iyer,Harbhajan Singh,3,7,0,0,1,2,0,23,13,176.92
SS Iyer,HH Pandya,4,3,0,0,1,0,0,7,8,87.50
SS Iyer,KA Pollard,1,4,0,0,0,0,0,4,5,80.00
JP Duminy,MJ McClenaghan,4,1,0,0,0,0,0,1,5,20.00
JP Duminy,SL Malinga,5,4,0,0,0,0,0,4,9,44.44
JP Duminy,JJ Bumrah,3,5,1,0,1,4,0,35,14,250.00
JP Duminy,Harbhajan Singh,2,7,2,0,0,0,0,11,11,100.00
JP Duminy,HH Pandya,0,3,0,0,1,0,0,7,4,175.00
JP Duminy,KA Pollard,0,4,0,0,1,2,0,20,7,285.71
AD Mathews,MJ McClenaghan,1,0,2,0,2,0,1,12,6,200.00
AD Mathews,SL Malinga,0,1,0,0,1,0,0,5,2,250.00
Yuvraj Singh,SL Malinga,1,2,0,0,0,0,0,2,3,66.66
Yuvraj Singh,JJ Bumrah,0,0,0,0,0,0,1,0,1,0.00
KM Jadhav,JJ Bumrah,0,1,0,0,0,0,0,1,1,100.00
LMP Simmons,NM Coulter-Nile,6,1,0,0,2,0,0,9,9,100.00
LMP Simmons,DJ Muthuswami,1,1,0,0,0,0,1,1,3,33.33
LMP Simmons,JP Duminy,0,1,0,0,1,0,0,5,2,250.00
PA Patel,NM Coulter-Nile,1,1,0,0,1,0,0,5,3,166.66
PA Patel,DJ Muthuswami,4,1,0,1,0,0,0,4,6,66.66
PA Patel,JP Duminy,1,1,0,0,2,0,0,9,4,225.00
PA Patel,AD Mathews,3,0,0,0,1,1,1,10,6,166.66
UBT Chand,DJ Muthuswami,2,0,1,0,0,0,0,2,3,66.66
UBT Chand,A Mishra,0,2,0,0,2,0,1,10,5,200.00
UBT Chand,S Nadeem,1,2,0,0,0,0,0,2,3,66.66
RG Sharma,NM Coulter-Nile,0,0,1,0,0,0,1,2,2,100.00
RG Sharma,A Mishra,3,6,1,0,0,1,0,14,11,127.27
RG Sharma,S Nadeem,3,3,1,0,0,1,0,11,8,137.50
RG Sharma,Imran Tahir,0,3,0,0,0,0,0,3,3,100.00
KA Pollard,A Mishra,1,1,1,0,0,0,1,3,4,75.00
KA Pollard,Imran Tahir,2,1,0,0,0,1,0,7,4,175.00
AT Rayudu,NM Coulter-Nile,1,1,0,0,2,0,0,9,4,225.00
AT Rayudu,A Mishra,2,1,1,0,0,0,0,3,4,75.00
AT Rayudu,S Nadeem,2,4,0,0,0,1,0,10,7,142.85
AT Rayudu,Imran Tahir,2,2,1,0,1,0,1,8,7,114.28
HH Pandya,Imran Tahir,0,0,0,0,0,0,1,0,1,0.00
Harbhajan Singh,NM Coulter-Nile,2,2,0,0,0,1,0,8,5,160.00
Harbhajan Singh,AD Mathews,1,0,0,0,0,0,1,0,2,0.00
Harbhajan Singh,Imran Tahir,2,1,0,0,0,0,0,1,3,33.33
MJ McClenaghan,Imran Tahir,0,0,0,0,0,0,1,0,1,0.00
SL Malinga,NM Coulter-Nile,1,0,0,0,0,0,0,0,1,0.00
SL Malinga,AD Mathews,2,1,0,0,1,0,0,5,4,125.00
SL Malinga,Imran Tahir,4,1,0,0,0,0,0,1,5,20.00
