Batsman,Bowler,0s,1s,2s,3s,4s,6s,Dismissal,Runs,Balls,SR
GC Smith,M Ntini,2,2,0,0,1,0,0,6,5,120.00
GC Smith,MS Gony,2,4,2,0,2,0,0,16,10,160.00
GC Smith,JA Morkel,2,3,1,0,2,0,0,13,8,162.50
GC Smith,M Muralitharan,4,5,2,0,1,1,0,19,13,146.15
GC Smith,L Balaji,0,3,0,0,3,2,0,27,8,337.50
GC Smith,SK Raina,1,4,0,0,0,1,1,10,7,142.85
SA Asnodkar,M Ntini,5,1,0,0,1,1,0,11,8,137.50
SA Asnodkar,MS Gony,3,2,0,0,2,1,0,16,8,200.00
SA Asnodkar,JA Morkel,2,1,0,0,1,0,0,5,4,125.00
SA Asnodkar,M Muralitharan,0,3,0,0,0,0,0,3,3,100.00
SA Asnodkar,L Balaji,1,2,0,0,1,0,0,6,4,150.00
Kamran Akmal,M Ntini,2,1,2,0,3,1,0,23,9,255.55
Kamran Akmal,JA Morkel,0,4,1,0,0,0,0,6,5,120.00
Kamran Akmal,M Muralitharan,4,1,1,0,1,0,0,7,7,100.00
Kamran Akmal,L Balaji,0,1,0,0,0,1,0,7,2,350.00
Kamran Akmal,SK Raina,0,4,0,0,0,1,0,10,5,200.00
YK Pathan,M Ntini,1,1,0,0,0,0,0,1,2,50.00
YK Pathan,JA Morkel,0,0,0,0,1,0,1,4,2,200.00
YK Pathan,M Muralitharan,0,1,0,0,0,0,0,1,1,100.00
M Kaif,JA Morkel,0,1,0,0,1,0,1,5,3,166.66
M Kaif,L Balaji,1,1,2,0,0,0,0,5,4,125.00
T Kohli,M Ntini,0,1,0,0,0,0,0,1,1,100.00
T Kohli,JA Morkel,0,2,0,0,0,0,0,2,2,100.00
PA Patel,Sohail Tanvir,3,2,0,0,1,0,0,6,6,100.00
PA Patel,YK Pathan,2,3,0,0,0,0,0,3,5,60.00
PA Patel,MM Patel,0,2,1,0,1,0,0,8,4,200.00
PA Patel,Pankaj Singh,6,3,0,0,1,1,0,13,11,118.18
PA Patel,SK Warne,1,5,1,0,0,1,1,13,9,144.44
PA Patel,D Salunkhe,1,1,1,0,2,0,0,11,5,220.00
SP Fleming,Sohail Tanvir,1,0,0,0,0,0,0,0,1,0.00
SP Fleming,YK Pathan,1,1,0,0,0,1,0,7,3,233.33
SK Raina,Sohail Tanvir,2,0,0,0,2,1,0,14,5,280.00
SK Raina,YK Pathan,3,2,0,0,1,0,0,6,6,100.00
SK Raina,MM Patel,1,1,0,0,2,1,0,15,5,300.00
SK Raina,Pankaj Singh,0,2,0,0,1,0,0,6,3,200.00
SK Raina,SK Warne,1,2,1,0,0,0,1,4,5,80.00
JA Morkel,Sohail Tanvir,1,3,1,0,1,0,1,9,7,128.57
JA Morkel,YK Pathan,0,1,0,0,2,1,0,15,4,375.00
JA Morkel,MM Patel,1,6,1,0,0,2,0,20,10,200.00
JA Morkel,Pankaj Singh,2,4,0,0,1,0,0,8,7,114.28
JA Morkel,SK Warne,4,3,0,0,2,1,0,17,10,170.00
JA Morkel,D Salunkhe,0,2,0,0,0,0,0,2,2,100.00
MS Dhoni,Sohail Tanvir,0,0,0,0,0,0,1,0,1,0.00
MS Dhoni,MM Patel,0,2,0,0,2,0,0,10,4,250.00
MS Dhoni,Pankaj Singh,1,2,0,0,0,0,0,2,3,66.66
S Badrinath,MM Patel,0,1,0,0,0,0,1,1,2,50.00
MS Gony,Sohail Tanvir,2,2,0,0,0,0,0,2,4,50.00
A Mukund,Sohail Tanvir,0,0,0,0,0,0,1,0,1,0.00
