Batsman,Bowler,0s,1s,2s,3s,4s,6s,Dismissal,Runs,Balls,SR
CA Pujara,Z Khan,5,3,0,0,2,0,0,11,10,110.00
CA Pujara,JJ Bumrah,4,0,0,0,1,0,0,4,5,80.00
CA Pujara,CJ Anderson,1,0,0,0,1,0,1,4,3,133.33
V Sehwag,Z Khan,1,0,0,0,0,0,0,0,1,0.00
V Sehwag,JJ Bumrah,0,1,0,0,0,0,0,1,1,100.00
WP Saha,Z Khan,0,2,0,0,1,1,0,12,4,300.00
WP Saha,JJ Bumrah,6,3,0,0,0,0,0,3,9,33.33
WP Saha,CJ Anderson,1,2,0,0,0,0,0,2,3,66.66
WP Saha,SL Malinga,6,5,1,0,1,0,0,11,13,84.61
WP Saha,Harbhajan Singh,3,7,0,0,0,1,0,13,11,118.18
WP Saha,KA Pollard,1,2,1,0,2,1,0,18,7,257.14
GJ Maxwell,JJ Bumrah,3,2,0,0,1,0,0,6,6,100.00
GJ Maxwell,CJ Anderson,2,0,0,0,1,0,0,4,3,133.33
GJ Maxwell,SL Malinga,1,2,0,0,1,1,0,12,5,240.00
GJ Maxwell,Harbhajan Singh,1,4,0,0,2,1,1,18,9,200.00
GJ Maxwell,KA Pollard,1,1,2,0,0,0,0,5,4,125.00
GJ Bailey,Z Khan,3,1,0,0,1,0,0,5,5,100.00
GJ Bailey,CJ Anderson,0,2,0,0,1,0,0,6,3,200.00
GJ Bailey,Harbhajan Singh,1,1,1,0,0,0,1,3,4,75.00
GJ Bailey,KA Pollard,1,1,0,0,0,0,0,1,2,50.00
DA Miller,Z Khan,1,0,0,0,0,0,0,0,1,0.00
DA Miller,JJ Bumrah,1,1,1,0,1,0,0,7,4,175.00
DA Miller,SL Malinga,2,2,0,0,0,0,1,2,5,40.00
DA Miller,KA Pollard,0,1,0,0,0,1,0,7,2,350.00
MG Johnson,SL Malinga,1,0,0,0,0,0,0,0,1,0.00
BR Dunk,Sandeep Sharma,1,1,0,0,1,0,1,5,4,125.00
CM Gautam,Sandeep Sharma,7,1,0,0,1,2,0,17,11,154.54
CM Gautam,L Balaji,1,1,1,0,0,0,0,3,3,100.00
CM Gautam,MG Johnson,0,2,0,0,0,0,0,2,2,100.00
CM Gautam,AR Patel,3,2,1,0,1,0,0,8,7,114.28
CM Gautam,R Dhawan,3,1,1,0,0,0,1,3,6,50.00
AT Rayudu,Sandeep Sharma,1,0,0,0,0,0,1,0,2,0.00
AT Rayudu,L Balaji,1,0,0,0,2,0,0,8,3,266.66
RG Sharma,Sandeep Sharma,1,0,0,0,0,0,0,0,1,0.00
RG Sharma,L Balaji,3,1,0,0,2,0,1,9,7,128.57
RG Sharma,MG Johnson,7,1,0,0,1,1,0,11,10,110.00
RG Sharma,AR Patel,3,6,0,0,1,0,0,10,10,100.00
RG Sharma,R Dhawan,2,3,0,0,0,1,0,9,6,150.00
CJ Anderson,L Balaji,1,2,0,0,0,0,0,2,3,66.66
CJ Anderson,MG Johnson,4,1,1,0,0,0,0,3,6,50.00
CJ Anderson,AR Patel,0,2,1,0,3,1,0,22,7,314.28
CJ Anderson,R Dhawan,5,2,0,0,0,1,1,8,9,88.88
KA Pollard,Sandeep Sharma,0,0,0,0,0,1,0,6,1,600.00
KA Pollard,L Balaji,2,1,0,0,0,0,0,1,3,33.33
KA Pollard,MG Johnson,0,1,2,0,2,1,0,19,6,316.66
KA Pollard,R Dhawan,0,2,0,0,0,0,0,2,2,100.00
AP Tare,L Balaji,0,1,2,0,1,1,0,15,5,300.00
AP Tare,R Dhawan,0,1,0,0,0,0,0,1,1,100.00
