Batsman,Bowler,0s,1s,2s,3s,4s,6s,Dismissal,Runs,Balls,SR
JD Ryder,IK Pathan,3,0,1,0,0,0,1,2,5,40.00
SP Goswami,IK Pathan,4,1,0,0,0,0,0,1,5,20.00
SP Goswami,VS Malik,1,5,2,0,0,0,0,9,8,112.50
SP Goswami,YA Abdulla,0,0,0,0,0,0,1,0,1,0.00
R Bishnoi,IK Pathan,1,0,0,0,0,1,0,6,2,300.00
R Bishnoi,VS Malik,4,2,0,0,1,1,0,12,8,150.00
R Bishnoi,YA Abdulla,3,0,0,0,0,0,1,0,4,0.00
JH Kallis,VS Malik,0,0,0,1,1,0,0,7,2,350.00
JH Kallis,YA Abdulla,4,1,0,0,1,0,0,5,6,83.33
JH Kallis,RR Powar,0,2,0,0,0,0,0,2,2,100.00
JH Kallis,PP Chawla,3,3,0,0,0,0,0,3,6,50.00
JH Kallis,Yuvraj Singh,1,2,0,0,2,0,1,10,6,166.66
RV Uthappa,YA Abdulla,0,1,0,0,0,0,0,1,1,100.00
RV Uthappa,RR Powar,1,2,0,0,1,0,0,6,4,150.00
RV Uthappa,PP Chawla,1,3,1,0,1,0,0,9,6,150.00
RV Uthappa,Yuvraj Singh,3,1,1,0,0,0,1,3,6,50.00
V Kohli,IK Pathan,0,2,0,0,0,0,1,2,3,66.66
V Kohli,YA Abdulla,0,1,0,0,1,0,0,5,2,250.00
V Kohli,PP Chawla,2,3,0,0,1,0,0,7,6,116.66
V Kohli,Yuvraj Singh,1,2,0,0,0,0,0,2,3,66.66
MV Boucher,PP Chawla,1,2,0,0,0,0,0,2,3,66.66
MV Boucher,Yuvraj Singh,0,0,0,0,0,0,1,0,1,0.00
RE van der Merwe,IK Pathan,1,2,0,0,1,0,0,6,4,150.00
RE van der Merwe,YA Abdulla,0,0,0,0,1,2,1,16,4,400.00
RE van der Merwe,PP Chawla,1,1,0,0,0,1,0,7,3,233.33
RE van der Merwe,Yuvraj Singh,5,2,0,0,1,0,0,6,8,75.00
P Kumar,IK Pathan,2,1,0,0,0,0,0,1,3,33.33
P Kumar,YA Abdulla,1,0,2,0,1,0,0,8,4,200.00
A Kumble,IK Pathan,1,1,0,0,0,0,0,1,2,50.00
A Kumble,YA Abdulla,0,0,0,0,0,0,1,0,1,0.00
KP Appanna,YA Abdulla,1,0,0,0,0,0,0,0,1,0.00
Yuvraj Singh,P Kumar,5,2,0,0,0,0,0,2,7,28.57
Yuvraj Singh,JH Kallis,1,5,1,0,1,0,0,11,8,137.50
Yuvraj Singh,JD Ryder,3,3,0,0,1,1,0,13,8,162.50
Yuvraj Singh,RE van der Merwe,2,1,0,0,1,1,0,11,5,220.00
Yuvraj Singh,A Kumble,2,1,0,0,0,2,1,13,6,216.66
K Goel,P Kumar,3,0,1,0,1,0,0,6,5,120.00
K Goel,JH Kallis,7,1,0,1,1,0,0,8,10,80.00
K Goel,JD Ryder,1,2,1,0,0,0,0,4,4,100.00
K Goel,RE van der Merwe,2,1,0,0,0,0,1,1,4,25.00
K Goel,A Kumble,5,1,0,0,0,0,0,1,6,16.66
SM Katich,RE van der Merwe,1,2,0,0,0,0,0,2,3,66.66
SM Katich,KP Appanna,1,1,0,0,0,0,0,1,2,50.00
KC Sangakkara,P Kumar,0,1,0,0,0,0,0,1,1,100.00
KC Sangakkara,JD Ryder,6,1,1,0,1,0,0,7,9,77.77
KC Sangakkara,RE van der Merwe,1,0,0,0,0,0,0,0,1,0.00
KC Sangakkara,A Kumble,1,1,0,0,0,0,1,1,3,33.33
KC Sangakkara,KP Appanna,4,4,0,0,1,0,0,8,9,88.88
DPMD Jayawardene,P Kumar,0,2,1,0,2,0,0,12,5,240.00
DPMD Jayawardene,JD Ryder,3,0,0,0,0,0,0,0,3,0.00
DPMD Jayawardene,RE van der Merwe,0,0,0,0,0,0,1,0,1,0.00
DPMD Jayawardene,A Kumble,1,2,2,0,0,0,0,6,5,120.00
DPMD Jayawardene,KP Appanna,0,1,0,0,0,0,0,1,1,100.00
IK Pathan,P Kumar,2,0,0,0,1,0,1,4,4,100.00
IK Pathan,RE van der Merwe,1,1,1,0,1,0,0,7,4,175.00
IK Pathan,A Kumble,0,1,0,0,0,0,0,1,1,100.00
PP Chawla,P Kumar,0,0,0,0,0,0,1,0,1,0.00
PP Chawla,A Kumble,1,1,1,0,0,0,0,3,3,100.00
TM Srivastava,P Kumar,1,0,0,0,0,0,0,0,1,0.00
