Batsman,Bowler,0s,1s,2s,3s,4s,6s,Dismissal,Runs,Balls,SR
M Vijay,UT Yadav,3,0,0,0,0,0,1,0,4,0.00
V Sehwag,M Morkel,4,3,0,0,1,0,0,7,8,87.50
V Sehwag,AD Russell,0,0,0,0,1,0,1,4,2,200.00
WP Saha,UT Yadav,4,0,2,0,1,1,0,14,8,175.00
WP Saha,M Morkel,1,1,0,0,0,0,1,1,3,33.33
GJ Maxwell,UT Yadav,0,1,0,0,0,0,1,1,2,50.00
GJ Maxwell,M Morkel,1,1,0,0,1,1,0,11,4,275.00
GJ Maxwell,AD Russell,2,3,1,0,0,1,0,11,7,157.14
GJ Maxwell,SP Narine,7,2,0,0,1,0,0,6,10,60.00
GJ Maxwell,PP Chawla,0,2,1,0,0,0,0,4,3,133.33
GJ Bailey,UT Yadav,0,3,0,0,3,0,0,15,6,250.00
GJ Bailey,M Morkel,4,1,0,0,0,1,0,7,6,116.66
GJ Bailey,AD Russell,2,5,1,0,2,0,0,15,10,150.00
GJ Bailey,SP Narine,2,5,2,0,0,0,0,9,9,100.00
GJ Bailey,PP Chawla,5,8,0,0,0,1,0,14,14,100.00
NLTC Perera,UT Yadav,1,0,0,0,0,0,0,0,1,0.00
NLTC Perera,AD Russell,2,1,0,0,0,1,1,7,5,140.00
NLTC Perera,PP Chawla,0,2,0,0,0,0,0,2,2,100.00
Gurkeerat Singh,UT Yadav,0,1,0,0,0,0,1,1,2,50.00
Gurkeerat Singh,SP Narine,2,1,0,0,0,0,0,1,3,33.33
Gurkeerat Singh,PP Chawla,1,3,0,0,0,1,0,9,5,180.00
AR Patel,UT Yadav,0,1,0,0,0,0,0,1,1,100.00
AR Patel,SP Narine,0,1,0,0,0,0,1,1,2,50.00
MG Johnson,M Morkel,0,1,0,0,0,0,1,1,2,50.00
Anureet Singh,M Morkel,1,0,0,0,0,0,0,0,1,0.00
RV Uthappa,Sandeep Sharma,3,1,1,0,1,0,1,7,7,100.00
RV Uthappa,Anureet Singh,0,2,0,0,1,0,0,6,3,200.00
G Gambhir,Sandeep Sharma,5,1,1,0,0,0,1,3,8,37.50
G Gambhir,Anureet Singh,5,1,0,0,1,0,0,5,7,71.42
G Gambhir,MG Johnson,1,1,0,0,0,0,0,1,2,50.00
G Gambhir,NLTC Perera,0,2,0,0,0,0,0,2,2,100.00
MK Pandey,Sandeep Sharma,0,0,0,1,2,0,1,11,4,275.00
MK Pandey,Anureet Singh,1,1,0,0,0,0,0,1,2,50.00
SA Yadav,Sandeep Sharma,2,0,0,0,1,0,0,4,3,133.33
SA Yadav,MG Johnson,1,0,1,0,0,2,0,14,4,350.00
SA Yadav,NLTC Perera,0,1,0,0,1,0,1,5,3,166.66
YK Pathan,Anureet Singh,1,3,0,0,3,0,0,15,7,214.28
YK Pathan,MG Johnson,2,4,0,0,1,0,0,8,7,114.28
YK Pathan,NLTC Perera,2,4,0,0,0,0,0,4,6,66.66
YK Pathan,AR Patel,3,1,0,0,0,0,0,1,4,25.00
RN ten Doeschate,Sandeep Sharma,0,0,0,0,0,0,1,0,1,0.00
AD Russell,Sandeep Sharma,1,0,0,0,0,0,0,0,1,0.00
AD Russell,Anureet Singh,0,2,2,0,1,0,0,10,5,200.00
AD Russell,MG Johnson,3,2,0,0,3,0,1,14,9,155.55
AD Russell,NLTC Perera,6,3,0,0,3,1,0,21,13,161.53
AD Russell,AR Patel,1,1,3,0,2,1,0,21,8,262.50
PP Chawla,MG Johnson,0,0,0,0,1,0,0,4,1,400.00
