Batsman,Bowler,0s,1s,2s,3s,4s,6s,Dismissal,Runs,Balls,SR
MEK Hussey,B Lee,4,4,1,0,1,1,0,16,11,145.45
MEK Hussey,Shakib Al Hasan,4,3,1,0,1,1,0,15,10,150.00
MEK Hussey,SP Narine,1,4,0,0,0,0,0,4,5,80.00
MEK Hussey,Iqbal Abdulla,1,1,0,0,0,0,0,1,2,50.00
MEK Hussey,JH Kallis,2,4,0,0,1,0,1,8,8,100.00
MEK Hussey,R Bhatia,1,3,1,0,1,0,0,9,6,150.00
MEK Hussey,YK Pathan,0,1,0,0,0,0,0,1,1,100.00
M Vijay,B Lee,4,2,0,0,2,1,0,16,9,177.77
M Vijay,Shakib Al Hasan,0,2,0,0,0,0,0,2,2,100.00
M Vijay,SP Narine,2,1,1,0,0,0,0,3,4,75.00
M Vijay,Iqbal Abdulla,1,0,2,0,1,0,0,8,4,200.00
M Vijay,JH Kallis,4,3,1,0,0,0,0,5,8,62.50
M Vijay,R Bhatia,0,2,1,0,1,0,1,8,5,160.00
SK Raina,B Lee,2,1,1,0,0,1,0,9,5,180.00
SK Raina,Shakib Al Hasan,0,1,2,0,0,0,1,5,4,125.00
SK Raina,SP Narine,1,4,4,0,1,2,0,28,12,233.33
SK Raina,JH Kallis,1,3,0,0,0,1,0,9,5,180.00
SK Raina,R Bhatia,3,2,2,0,0,0,0,6,7,85.71
SK Raina,YK Pathan,0,2,0,0,2,1,0,16,5,320.00
MS Dhoni,Shakib Al Hasan,0,2,0,0,0,0,0,2,2,100.00
MS Dhoni,SP Narine,1,2,0,0,0,0,0,2,3,66.66
MS Dhoni,JH Kallis,0,2,0,0,2,0,0,10,4,250.00
MS Bisla,BW Hilfenhaus,3,4,0,0,1,0,0,8,8,100.00
MS Bisla,JA Morkel,2,5,2,0,4,0,1,25,14,178.57
MS Bisla,R Ashwin,3,2,2,0,0,3,0,24,10,240.00
MS Bisla,DJ Bravo,0,4,0,0,1,2,0,20,7,285.71
MS Bisla,SB Jakati,3,4,0,0,2,0,0,12,9,133.33
G Gambhir,BW Hilfenhaus,2,0,1,0,0,0,1,2,4,50.00
JH Kallis,BW Hilfenhaus,3,4,0,0,0,0,1,4,8,50.00
JH Kallis,JA Morkel,2,6,0,0,1,0,0,10,9,111.11
JH Kallis,R Ashwin,2,6,3,0,1,0,0,16,12,133.33
JH Kallis,DJ Bravo,1,5,0,0,1,1,0,15,8,187.50
JH Kallis,SB Jakati,1,6,1,0,4,0,0,24,12,200.00
LR Shukla,JA Morkel,0,1,0,0,0,0,0,1,1,100.00
LR Shukla,DJ Bravo,1,0,0,0,0,0,1,0,2,0.00
LR Shukla,SB Jakati,1,2,0,0,0,0,0,2,3,66.66
YK Pathan,R Ashwin,0,0,0,0,0,0,1,0,1,0.00
YK Pathan,DJ Bravo,0,1,0,0,0,0,0,1,1,100.00
Shakib Al Hasan,BW Hilfenhaus,1,1,2,0,1,0,0,9,5,180.00
Shakib Al Hasan,R Ashwin,0,1,0,0,0,0,0,1,1,100.00
Shakib Al Hasan,DJ Bravo,0,1,0,0,0,0,0,1,1,100.00
MK Tiwary,DJ Bravo,0,1,0,0,2,0,0,9,3,300.00
