Batsman,Bowler,0s,1s,2s,3s,4s,6s,Dismissal,Runs,Balls,SR
S Badrinath,IK Pathan,0,0,0,0,0,0,1,0,1,0.00
ML Hayden,IK Pathan,4,2,1,0,2,0,0,12,9,133.33
ML Hayden,S Sreesanth,8,4,1,0,2,3,1,32,19,168.42
ML Hayden,YA Abdulla,2,3,0,0,1,0,0,7,6,116.66
ML Hayden,VRV Singh,3,0,1,0,1,1,0,12,6,200.00
ML Hayden,K Goel,5,3,1,0,1,0,0,9,10,90.00
ML Hayden,PP Chawla,4,1,0,0,1,2,0,17,8,212.50
SK Raina,IK Pathan,2,2,0,0,2,1,0,16,7,228.57
SK Raina,S Sreesanth,0,2,0,0,0,0,0,2,2,100.00
SK Raina,YA Abdulla,1,3,0,0,2,0,0,11,6,183.33
SK Raina,K Goel,1,3,0,0,0,0,0,3,4,75.00
SK Raina,PP Chawla,0,0,0,0,0,0,1,0,1,0.00
MS Dhoni,IK Pathan,0,4,0,0,1,0,0,8,5,160.00
MS Dhoni,S Sreesanth,1,2,0,0,0,0,0,2,3,66.66
MS Dhoni,VRV Singh,0,0,2,0,2,2,0,24,6,400.00
MS Dhoni,K Goel,0,1,1,0,2,0,0,11,4,275.00
MS Dhoni,PP Chawla,5,1,1,0,2,0,0,11,9,122.22
JA Morkel,IK Pathan,0,2,0,0,0,0,0,2,2,100.00
S Sohal,JA Morkel,0,0,1,0,0,0,1,2,2,100.00
SM Katich,JA Morkel,3,0,3,0,2,0,0,14,8,175.00
SM Katich,S Tyagi,0,1,0,0,0,0,0,1,1,100.00
SM Katich,MS Gony,2,0,0,0,0,3,0,18,5,360.00
SM Katich,M Muralitharan,0,3,0,0,0,0,0,3,3,100.00
SM Katich,SB Jakati,2,2,1,0,1,1,0,14,7,200.00
SM Katich,L Balaji,0,0,0,0,0,0,1,0,1,0.00
K Goel,JA Morkel,1,1,0,0,0,0,0,1,2,50.00
K Goel,S Tyagi,7,1,2,0,1,0,0,9,11,81.81
K Goel,MS Gony,0,1,0,0,0,0,0,1,1,100.00
K Goel,M Muralitharan,1,3,0,0,0,0,0,3,4,75.00
K Goel,SB Jakati,1,0,0,0,0,0,1,0,2,0.00
Yuvraj Singh,JA Morkel,0,1,1,0,2,1,0,17,5,340.00
Yuvraj Singh,M Muralitharan,3,5,1,0,1,1,0,17,11,154.54
Yuvraj Singh,SB Jakati,0,2,0,0,1,0,0,6,3,200.00
Yuvraj Singh,L Balaji,1,7,2,0,1,0,0,15,11,136.36
Yuvraj Singh,SK Raina,3,3,0,0,0,0,0,3,6,50.00
DPMD Jayawardene,JA Morkel,0,1,0,0,0,0,0,1,1,100.00
DPMD Jayawardene,M Muralitharan,1,3,0,0,1,1,0,13,6,216.66
DPMD Jayawardene,L Balaji,0,7,2,0,2,1,0,25,12,208.33
DPMD Jayawardene,SK Raina,1,5,0,0,0,0,0,5,6,83.33
