Batsman,Bowler,0s,1s,2s,3s,4s,6s,Dismissal,Runs,Balls,SR
RV Uthappa,A Chandila,1,4,0,0,2,0,0,12,7,171.42
RV Uthappa,JP Faulkner,3,1,0,0,0,0,0,1,4,25.00
RV Uthappa,SR Watson,3,1,0,0,3,0,0,13,7,185.71
RV Uthappa,KK Cooper,1,2,0,0,0,0,0,2,3,66.66
RV Uthappa,SK Trivedi,5,4,1,0,3,0,0,18,13,138.46
RV Uthappa,STR Binny,4,2,0,0,0,1,0,8,7,114.28
AJ Finch,A Chandila,0,3,0,0,2,0,0,11,5,220.00
AJ Finch,JP Faulkner,3,2,1,0,2,0,0,12,8,150.00
AJ Finch,SR Watson,3,1,0,0,1,0,0,5,5,100.00
AJ Finch,KK Cooper,3,2,1,0,1,0,1,8,8,100.00
AJ Finch,SK Trivedi,2,1,2,0,1,0,0,9,6,150.00
Yuvraj Singh,KK Cooper,1,0,0,0,0,0,0,0,1,0.00
Yuvraj Singh,SK Trivedi,2,0,1,1,0,0,1,5,5,100.00
Yuvraj Singh,STR Binny,3,0,0,0,1,1,0,10,5,200.00
MR Marsh,JP Faulkner,1,1,1,0,1,1,0,13,5,260.00
MR Marsh,SR Watson,5,3,0,0,1,0,0,7,9,77.77
MR Marsh,KK Cooper,2,3,0,0,0,2,0,15,7,214.28
AD Mathews,JP Faulkner,3,1,1,0,1,0,1,7,7,100.00
AD Mathews,SR Watson,1,1,1,0,0,0,0,3,3,100.00
AD Mathews,KK Cooper,1,2,1,0,1,0,0,8,5,160.00
R Dravid,B Kumar,8,0,0,0,4,0,0,16,12,133.33
R Dravid,K Upadhyay,4,2,0,0,2,0,0,10,8,125.00
R Dravid,WD Parnell,0,1,0,0,1,0,0,5,2,250.00
R Dravid,R Sharma,1,6,0,0,0,1,0,12,8,150.00
R Dravid,Yuvraj Singh,0,3,0,0,1,0,0,7,4,175.00
R Dravid,AD Mathews,0,4,0,0,1,0,1,8,6,133.33
AM Rahane,B Kumar,1,1,0,0,1,0,1,5,4,125.00
AM Rahane,K Upadhyay,3,4,0,0,2,1,0,18,10,180.00
AM Rahane,WD Parnell,4,3,0,0,0,0,0,3,7,42.85
AM Rahane,R Sharma,4,4,0,1,1,0,0,11,10,110.00
AM Rahane,Yuvraj Singh,0,4,2,0,0,0,0,8,6,133.33
AM Rahane,AD Mathews,1,6,1,0,2,1,0,22,11,200.00
SR Watson,WD Parnell,1,0,0,0,0,0,1,0,2,0.00
SR Watson,Yuvraj Singh,1,1,0,0,0,0,0,1,2,50.00
SR Watson,AD Mathews,0,0,0,0,1,0,0,4,1,400.00
BJ Hodge,B Kumar,0,1,1,0,0,0,0,3,2,150.00
BJ Hodge,WD Parnell,1,0,0,0,0,0,1,0,2,0.00
BJ Hodge,R Sharma,0,1,0,0,0,0,0,1,1,100.00
STR Binny,B Kumar,0,1,1,1,0,1,0,12,4,300.00
STR Binny,WD Parnell,0,3,0,0,1,0,0,7,4,175.00
STR Binny,R Sharma,1,1,1,0,1,1,0,13,5,260.00
SV Samson,B Kumar,1,1,0,0,0,0,0,1,2,50.00
SV Samson,WD Parnell,0,1,0,0,2,0,1,9,4,225.00
JP Faulkner,WD Parnell,0,1,1,0,0,0,0,3,2,150.00
