Batsman,Bowler,0s,1s,2s,3s,4s,6s,Dismissal,Runs,Balls,SR
NV Ojha,BJ Hodge,0,1,1,0,0,3,0,21,5,420.00
NV Ojha,CK Langeveldt,2,0,0,0,0,0,1,0,3,0.00
NV Ojha,AB Dinda,3,1,0,0,0,0,0,1,4,25.00
RJ Quiney,BJ Hodge,0,1,0,0,0,0,0,1,1,100.00
RJ Quiney,CK Langeveldt,0,0,0,0,0,0,1,0,1,0.00
SA Asnodkar,CK Langeveldt,4,0,0,0,1,0,0,4,5,80.00
SA Asnodkar,AB Dinda,1,0,0,0,0,0,0,0,1,0.00
NK Patel,CK Langeveldt,0,0,0,0,0,0,1,0,1,0.00
NK Patel,AB Dinda,10,1,1,0,1,0,0,7,13,53.84
NK Patel,AB Agarkar,2,2,1,0,0,0,0,4,5,80.00
NK Patel,SS Sarkar,0,3,0,0,0,0,0,3,3,100.00
J Botha,CK Langeveldt,2,0,0,0,1,0,0,4,3,133.33
J Botha,AB Agarkar,1,0,0,0,1,0,1,4,3,133.33
YK Pathan,CK Langeveldt,3,2,0,0,0,0,0,2,5,40.00
YK Pathan,AB Agarkar,3,0,0,0,1,0,0,4,4,100.00
YK Pathan,SS Sarkar,0,3,0,0,0,0,0,3,3,100.00
YK Pathan,LR Shukla,3,0,0,0,0,0,0,0,3,0.00
RA Jadeja,AB Dinda,1,2,0,0,0,0,0,2,3,66.66
RA Jadeja,AB Agarkar,5,0,0,0,0,0,0,0,5,0.00
RA Jadeja,SS Sarkar,0,1,0,0,0,0,1,1,2,50.00
RA Jadeja,LR Shukla,3,3,2,0,1,0,0,11,9,122.22
T Henderson,LR Shukla,1,0,0,0,0,0,0,0,1,0.00
SK Warne,CK Langeveldt,1,2,0,0,0,0,0,2,3,66.66
SK Warne,AB Dinda,2,1,0,0,0,0,0,1,3,33.33
SK Warne,AB Agarkar,2,1,0,0,0,0,1,1,4,25.00
SK Warne,SS Sarkar,3,4,1,0,0,0,0,6,8,75.00
SK Warne,LR Shukla,7,2,1,0,1,0,0,8,11,72.72
MM Patel,CK Langeveldt,1,2,0,0,0,0,0,2,3,66.66
MM Patel,AB Agarkar,0,1,0,0,0,0,0,1,1,100.00
MM Patel,SS Sarkar,0,2,0,0,0,0,0,2,2,100.00
A Singh,AB Agarkar,1,1,0,0,0,0,0,1,2,50.00
BB McCullum,MM Patel,0,1,0,0,2,0,0,9,3,300.00
BB McCullum,A Singh,0,0,0,0,0,0,1,0,1,0.00
SC Ganguly,MM Patel,2,0,0,0,0,0,1,0,3,0.00
BJ Hodge,MM Patel,2,1,0,0,0,0,0,1,3,33.33
BJ Hodge,A Singh,2,1,0,0,1,0,0,5,4,125.00
BJ Hodge,J Botha,0,0,0,0,0,0,1,0,1,0.00
Yashpal Singh,MM Patel,11,0,0,1,0,0,1,3,13,23.07
Yashpal Singh,A Singh,4,3,0,0,0,0,0,3,7,42.85
DJ Hussey,MM Patel,3,0,0,0,0,0,0,0,3,0.00
DJ Hussey,A Singh,4,0,0,0,2,0,0,8,6,133.33
DJ Hussey,J Botha,0,0,0,0,0,0,1,0,1,0.00
DJ Hussey,SK Warne,2,1,0,0,0,0,0,1,3,33.33
LR Shukla,A Singh,1,0,0,0,0,0,0,0,1,0.00
LR Shukla,J Botha,7,5,0,0,1,1,0,15,14,107.14
LR Shukla,SK Warne,7,5,1,0,0,1,0,13,14,92.85
LR Shukla,RA Jadeja,3,2,3,0,1,0,0,12,9,133.33
LR Shukla,T Henderson,4,2,1,0,1,0,0,8,8,100.00
SS Shaikh,J Botha,4,1,0,0,0,0,0,1,5,20.00
SS Shaikh,SK Warne,0,1,0,0,1,0,0,5,2,250.00
AB Agarkar,A Singh,0,1,1,0,0,0,0,3,2,150.00
AB Agarkar,J Botha,0,3,0,0,0,0,0,3,3,100.00
AB Agarkar,SK Warne,1,4,0,0,0,0,0,4,5,80.00
AB Agarkar,RA Jadeja,2,1,0,0,0,0,0,1,3,33.33
AB Agarkar,T Henderson,2,2,0,0,0,0,0,2,4,50.00
