Batsman,Bowler,0s,1s,2s,3s,4s,6s,Dismissal,Runs,Balls,SR
PA Patel,MG Johnson,1,0,1,0,4,0,0,18,6,300.00
PA Patel,DS Kulkarni,1,0,0,0,1,0,0,4,2,200.00
PA Patel,Harbhajan Singh,0,1,1,0,0,0,0,3,2,150.00
PA Patel,SL Malinga,2,1,0,0,0,0,1,1,4,25.00
S Dhawan,MG Johnson,1,2,0,0,0,0,1,2,4,50.00
S Dhawan,DS Kulkarni,3,2,1,0,1,1,0,14,8,175.00
S Dhawan,Harbhajan Singh,6,4,1,0,1,0,0,10,12,83.33
S Dhawan,SL Malinga,1,2,1,0,2,0,0,12,6,200.00
S Dhawan,PP Ojha,1,5,0,0,1,1,0,15,8,187.50
S Dhawan,KA Pollard,0,2,0,0,1,0,0,6,3,200.00
GH Vihari,MG Johnson,4,3,0,0,2,0,0,11,9,122.22
GH Vihari,DS Kulkarni,2,2,0,0,1,0,0,6,5,120.00
GH Vihari,Harbhajan Singh,1,3,0,0,0,0,0,3,4,75.00
GH Vihari,SL Malinga,1,4,0,0,0,0,1,4,6,66.66
GH Vihari,PP Ojha,1,7,1,0,1,0,0,13,10,130.00
GH Vihari,KA Pollard,0,2,1,0,0,0,0,4,3,133.33
CL White,MG Johnson,2,1,0,0,1,1,0,11,5,220.00
CL White,DS Kulkarni,0,2,0,0,2,1,0,16,5,320.00
CL White,SL Malinga,1,5,1,0,0,0,0,7,7,100.00
CL White,PP Ojha,2,3,0,0,0,1,0,9,6,150.00
NLTC Perera,DS Kulkarni,3,1,0,0,0,0,0,1,4,25.00
NLTC Perera,SL Malinga,0,1,0,0,0,0,0,1,1,100.00
DR Smith,DW Steyn,6,2,0,0,3,0,0,14,11,127.27
DR Smith,I Sharma,2,1,1,0,1,0,1,7,6,116.66
SR Tendulkar,DW Steyn,0,1,0,0,0,0,0,1,1,100.00
SR Tendulkar,I Sharma,2,3,1,0,0,0,0,5,6,83.33
SR Tendulkar,NLTC Perera,5,3,0,0,1,0,0,7,9,77.77
SR Tendulkar,DJG Sammy,0,2,0,0,0,0,0,2,2,100.00
SR Tendulkar,A Mishra,0,6,0,0,0,0,0,6,6,100.00
SR Tendulkar,KV Sharma,1,3,0,0,2,1,0,17,7,242.85
KD Karthik,I Sharma,3,2,0,0,1,0,0,6,6,100.00
KD Karthik,NLTC Perera,0,2,0,0,1,0,0,6,3,200.00
KD Karthik,DJG Sammy,1,1,1,0,1,0,0,7,4,175.00
KD Karthik,A Mishra,0,5,0,0,1,0,0,9,6,150.00
KD Karthik,KV Sharma,1,2,0,0,0,0,1,2,4,50.00
RG Sharma,DW Steyn,2,2,0,0,0,0,0,2,4,50.00
RG Sharma,I Sharma,1,1,0,0,0,1,0,7,3,233.33
RG Sharma,NLTC Perera,0,1,0,0,0,1,0,7,2,350.00
RG Sharma,DJG Sammy,1,2,0,0,0,0,0,2,3,66.66
RG Sharma,A Mishra,0,1,0,0,0,0,0,1,1,100.00
RG Sharma,KV Sharma,1,1,0,0,0,0,0,1,2,50.00
AT Rayudu,DJG Sammy,1,2,0,0,0,0,0,2,3,66.66
AT Rayudu,KV Sharma,1,0,0,0,0,0,1,0,2,0.00
KA Pollard,DW Steyn,4,2,2,0,0,0,0,6,8,75.00
KA Pollard,I Sharma,0,2,0,0,1,0,0,6,3,200.00
KA Pollard,NLTC Perera,1,0,0,0,1,5,0,34,7,485.71
KA Pollard,A Mishra,2,1,0,0,0,3,0,19,6,316.66
KA Pollard,KV Sharma,2,1,0,0,0,0,0,1,3,33.33
