Batsman,Bowler,0s,1s,2s,3s,4s,6s,Dismissal,Runs,Balls,SR
DR Smith,S Nadeem,9,2,0,0,0,1,0,8,12,66.66
DR Smith,Z Khan,7,0,0,0,1,0,0,4,8,50.00
DR Smith,GS Sandhu,0,2,0,0,1,0,0,6,3,200.00
DR Smith,JA Morkel,0,0,0,0,0,0,1,0,1,0.00
BB McCullum,S Nadeem,6,3,1,0,1,0,0,9,11,81.81
BB McCullum,Z Khan,7,2,0,0,0,0,1,2,10,20.00
SK Raina,S Nadeem,0,1,0,0,0,0,0,1,1,100.00
SK Raina,GS Sandhu,0,2,1,0,0,0,0,4,3,133.33
SK Raina,JA Morkel,1,0,1,0,1,0,0,6,3,200.00
SK Raina,J Yadav,0,0,0,0,0,0,1,0,1,0.00
F du Plessis,GS Sandhu,0,2,2,0,0,0,0,6,4,150.00
F du Plessis,JA Morkel,2,3,0,0,2,0,1,11,8,137.50
F du Plessis,J Yadav,0,3,0,0,0,0,0,3,3,100.00
F du Plessis,Yuvraj Singh,2,5,0,0,1,0,0,9,8,112.50
MS Dhoni,Z Khan,0,0,0,0,0,0,1,0,1,0.00
MS Dhoni,GS Sandhu,1,2,0,0,1,0,0,6,4,150.00
MS Dhoni,JA Morkel,1,2,0,0,0,0,0,2,3,66.66
MS Dhoni,J Yadav,6,1,0,0,1,0,0,5,8,62.50
MS Dhoni,Yuvraj Singh,3,2,1,0,1,1,0,14,8,175.00
DJ Bravo,GS Sandhu,1,0,0,0,0,1,1,6,3,200.00
DJ Bravo,JA Morkel,1,2,0,0,0,0,0,2,3,66.66
DJ Bravo,Yuvraj Singh,2,0,0,0,0,0,0,0,2,0.00
P Negi,Z Khan,3,0,1,0,0,0,0,2,4,50.00
P Negi,GS Sandhu,1,3,0,0,0,0,0,3,4,75.00
RA Jadeja,Z Khan,0,1,0,0,0,0,0,1,1,100.00
RA Jadeja,GS Sandhu,1,2,0,0,0,0,0,2,3,66.66
Q de Kock,IC Pandey,2,2,0,0,0,0,1,2,5,40.00
Q de Kock,MM Sharma,1,1,0,0,0,0,0,1,2,50.00
SS Iyer,IC Pandey,2,2,0,0,2,1,0,16,7,228.57
SS Iyer,MM Sharma,3,2,0,0,2,0,0,10,7,142.85
SS Iyer,R Ashwin,6,3,2,0,2,0,0,15,13,115.38
SS Iyer,RA Jadeja,2,4,0,0,1,0,0,8,7,114.28
SS Iyer,SK Raina,1,2,0,0,1,0,0,6,4,150.00
SS Iyer,P Negi,3,5,1,0,2,0,0,15,11,136.36
JP Duminy,IC Pandey,3,0,0,0,0,0,1,0,4,0.00
JP Duminy,MM Sharma,0,2,0,0,1,0,0,6,3,200.00
Yuvraj Singh,IC Pandey,5,1,0,0,2,0,0,9,8,112.50
Yuvraj Singh,R Ashwin,3,2,0,0,0,1,0,8,6,133.33
Yuvraj Singh,RA Jadeja,4,3,0,0,1,0,0,7,8,87.50
Yuvraj Singh,SK Raina,0,2,0,0,0,0,0,2,2,100.00
Yuvraj Singh,P Negi,0,2,0,0,1,0,1,6,4,150.00
JA Morkel,R Ashwin,4,1,0,0,0,0,0,1,5,20.00
JA Morkel,P Negi,0,1,0,0,0,1,1,7,3,233.33
KM Jadhav,RA Jadeja,0,1,0,0,0,0,0,1,1,100.00
