Batsman,Bowler,0s,1s,2s,3s,4s,6s,Dismissal,Runs,Balls,SR
DA Warner,JA Morkel,1,1,0,0,0,0,0,1,2,50.00
DA Warner,R Ashwin,2,1,0,0,1,0,0,5,4,125.00
DA Warner,Joginder Sharma,1,0,0,0,0,0,0,0,1,0.00
DA Warner,L Balaji,0,0,0,0,0,0,1,0,1,0.00
V Sehwag,JA Morkel,3,1,0,0,2,0,0,9,6,150.00
V Sehwag,R Ashwin,0,4,0,0,1,1,0,14,6,233.33
V Sehwag,Joginder Sharma,2,1,0,0,4,0,0,17,7,242.85
V Sehwag,L Balaji,2,2,0,0,0,1,0,8,5,160.00
V Sehwag,JM Kemp,0,2,1,0,1,1,0,14,5,280.00
V Sehwag,M Muralitharan,2,4,0,0,2,0,1,12,9,133.33
TM Dilshan,JA Morkel,2,1,1,0,0,0,0,3,4,75.00
TM Dilshan,R Ashwin,0,2,0,0,0,0,0,2,2,100.00
TM Dilshan,Joginder Sharma,3,1,0,0,1,0,0,5,5,100.00
TM Dilshan,L Balaji,4,2,0,0,0,0,0,2,6,33.33
TM Dilshan,JM Kemp,1,0,0,0,0,0,0,0,1,0.00
TM Dilshan,M Muralitharan,2,3,0,0,0,0,1,3,6,50.00
KD Karthik,JA Morkel,0,2,0,0,0,0,0,2,2,100.00
KD Karthik,R Ashwin,0,1,0,0,0,0,0,1,1,100.00
KD Karthik,Joginder Sharma,0,0,1,0,0,0,1,2,2,100.00
KD Karthik,M Muralitharan,1,4,0,0,0,0,0,4,5,80.00
KD Karthik,SK Raina,0,2,0,0,2,0,0,10,4,250.00
AB de Villiers,R Ashwin,0,1,0,0,0,0,1,1,2,50.00
AB de Villiers,M Muralitharan,0,1,0,0,0,0,0,1,1,100.00
M Manhas,JA Morkel,0,2,0,0,2,0,0,10,4,250.00
M Manhas,R Ashwin,2,2,0,0,3,0,0,14,7,200.00
M Manhas,Joginder Sharma,2,3,0,0,0,0,0,3,5,60.00
M Manhas,L Balaji,0,1,0,0,0,0,0,1,1,100.00
M Manhas,M Muralitharan,1,2,0,0,0,0,0,2,3,66.66
M Manhas,SK Raina,0,2,0,0,0,0,0,2,2,100.00
R Bhatia,R Ashwin,0,2,0,0,0,0,0,2,2,100.00
R Bhatia,Joginder Sharma,0,3,0,0,0,2,0,15,5,300.00
R Bhatia,L Balaji,0,0,0,0,1,0,1,4,2,200.00
A Mishra,L Balaji,1,0,1,0,1,0,0,6,3,200.00
PA Patel,DP Nannes,3,1,0,0,0,0,0,1,4,25.00
PA Patel,UT Yadav,0,1,0,0,1,0,0,5,2,250.00
ML Hayden,DP Nannes,4,2,1,0,1,0,0,8,8,100.00
ML Hayden,UT Yadav,3,4,0,0,3,0,0,16,10,160.00
ML Hayden,PJ Sangwan,1,2,0,0,2,1,0,16,6,266.66
ML Hayden,R Bhatia,2,1,0,0,3,2,0,25,8,312.50
ML Hayden,TM Dilshan,0,2,0,0,0,3,0,20,5,400.00
ML Hayden,A Mishra,2,2,0,0,0,1,1,8,6,133.33
S Badrinath,DP Nannes,3,1,0,0,0,0,0,1,4,25.00
S Badrinath,UT Yadav,1,0,0,0,1,0,1,4,3,133.33
S Badrinath,PJ Sangwan,5,1,0,0,2,0,0,9,8,112.50
SK Raina,DP Nannes,0,3,0,0,0,0,0,3,3,100.00
SK Raina,UT Yadav,3,3,0,0,2,0,0,11,8,137.50
SK Raina,PJ Sangwan,2,2,0,0,0,1,0,8,5,160.00
SK Raina,R Bhatia,1,2,0,0,1,0,0,6,4,150.00
SK Raina,TM Dilshan,1,3,0,0,0,1,0,9,5,180.00
SK Raina,A Mishra,2,6,0,0,0,1,0,12,9,133.33
JA Morkel,UT Yadav,1,0,0,0,0,0,0,0,1,0.00
JA Morkel,TM Dilshan,0,0,0,0,0,0,1,0,1,0.00
JA Morkel,A Mishra,1,0,0,0,0,0,0,0,1,0.00
JM Kemp,DP Nannes,2,1,0,0,0,0,1,1,4,25.00
JM Kemp,TM Dilshan,1,1,0,0,0,0,0,1,2,50.00
JM Kemp,A Mishra,0,2,0,0,0,0,0,2,2,100.00
M Vijay,DP Nannes,0,1,0,0,0,0,0,1,1,100.00
M Vijay,PJ Sangwan,1,1,1,0,1,1,0,13,5,260.00
