Batsman,Bowler,0s,1s,2s,3s,4s,6s,Dismissal,Runs,Balls,SR
SC Ganguly,P Kumar,4,4,0,0,1,1,0,14,10,140.00
SC Ganguly,DW Steyn,5,1,0,0,0,0,0,1,6,16.66
SC Ganguly,JH Kallis,0,4,0,0,0,1,0,10,5,200.00
SC Ganguly,A Kumble,4,0,0,0,1,0,0,4,5,80.00
SC Ganguly,S Sriram,0,3,0,0,0,0,0,3,3,100.00
SC Ganguly,R Vinay Kumar,1,1,0,0,0,0,1,1,3,33.33
CH Gayle,P Kumar,1,3,0,0,3,1,0,21,8,262.50
CH Gayle,DW Steyn,2,1,0,0,3,0,0,13,6,216.66
CH Gayle,JH Kallis,0,0,0,0,0,0,1,0,1,0.00
BB McCullum,JH Kallis,5,4,0,0,0,0,0,4,9,44.44
BB McCullum,A Kumble,6,3,0,0,0,0,1,3,10,30.00
BB McCullum,S Sriram,2,3,0,0,3,1,0,21,9,233.33
BB McCullum,R Vinay Kumar,3,1,1,0,2,1,0,17,8,212.50
MK Tiwary,JH Kallis,1,0,0,0,0,0,1,0,2,0.00
AD Mathews,JH Kallis,0,1,0,0,0,0,0,1,1,100.00
AD Mathews,R Vinay Kumar,0,0,0,0,0,0,1,0,1,0.00
WP Saha,DW Steyn,3,1,1,0,0,1,1,9,7,128.57
WP Saha,A Kumble,4,4,0,0,0,0,0,4,8,50.00
CA Pujara,DW Steyn,1,2,0,0,0,0,0,2,3,66.66
CA Pujara,JH Kallis,1,1,0,0,0,2,0,13,4,325.00
CA Pujara,A Kumble,0,1,0,0,0,0,0,1,1,100.00
AB Agarkar,DW Steyn,1,1,0,0,0,0,0,1,2,50.00
AB Agarkar,JH Kallis,0,2,0,0,0,0,0,2,2,100.00
AB Agarkar,R Vinay Kumar,0,1,1,0,0,0,0,3,2,150.00
AB Dinda,R Vinay Kumar,1,0,0,0,0,0,0,0,1,0.00
I Sharma,R Vinay Kumar,1,0,0,0,0,0,1,0,2,0.00
BAW Mendis,R Vinay Kumar,0,1,0,0,0,0,0,1,1,100.00
S Sriram,AB Dinda,3,2,0,0,0,0,1,2,6,33.33
S Sriram,I Sharma,3,2,0,0,1,0,0,6,6,100.00
S Sriram,AB Agarkar,0,2,0,0,1,0,0,6,3,200.00
S Sriram,AD Mathews,1,4,0,0,1,0,0,8,6,133.33
S Sriram,BAW Mendis,4,3,1,0,0,0,0,5,8,62.50
JH Kallis,AB Dinda,3,2,2,0,0,0,1,6,8,75.00
JH Kallis,I Sharma,1,2,0,0,0,0,0,2,3,66.66
R Dravid,AB Dinda,1,1,0,0,0,0,0,1,2,50.00
R Dravid,I Sharma,1,3,2,0,3,0,0,19,9,211.11
R Dravid,AB Agarkar,5,5,0,0,1,2,0,21,13,161.53
R Dravid,AD Mathews,2,2,1,0,1,0,1,8,7,114.28
R Dravid,BAW Mendis,1,3,0,0,0,0,0,3,4,75.00
RV Uthappa,AB Dinda,1,0,1,0,0,0,0,2,2,100.00
RV Uthappa,I Sharma,2,0,1,0,2,1,0,16,6,266.66
RV Uthappa,AB Agarkar,0,2,0,0,0,0,0,2,2,100.00
RV Uthappa,AD Mathews,1,2,0,0,0,1,0,8,4,200.00
RV Uthappa,BAW Mendis,2,2,0,0,2,2,0,22,8,275.00
LRPL Taylor,AB Dinda,0,0,0,0,1,0,0,4,1,400.00
LRPL Taylor,AD Mathews,0,1,0,0,0,0,0,1,1,100.00
LRPL Taylor,BAW Mendis,0,3,0,0,0,1,0,9,4,225.00
