Batsman,Bowler,0s,1s,2s,3s,4s,6s,Dismissal,Runs,Balls,SR
M Vijay,YK Pathan,1,6,0,0,2,2,0,26,11,236.36
M Vijay,S Narwal,2,1,0,0,2,4,0,33,9,366.66
M Vijay,SW Tait,4,4,1,0,2,2,0,26,13,200.00
M Vijay,SR Watson,3,3,1,0,2,2,1,25,12,208.33
M Vijay,SK Warne,3,4,0,0,0,1,0,10,8,125.00
M Vijay,AA Jhunjhunwala,0,2,0,0,0,0,0,7,3,233.33
ML Hayden,YK Pathan,3,3,0,0,0,0,0,3,6,50.00
ML Hayden,S Narwal,0,1,0,0,0,0,0,1,1,100.00
ML Hayden,SW Tait,2,1,0,0,1,0,0,5,4,125.00
ML Hayden,SR Watson,1,1,1,0,1,1,0,13,5,260.00
ML Hayden,SB Wagh,1,0,0,0,3,0,1,12,5,240.00
SK Raina,SW Tait,1,0,1,0,1,0,0,6,3,200.00
SK Raina,SR Watson,0,1,1,0,0,0,0,3,2,150.00
SK Raina,SB Wagh,0,0,0,0,1,0,0,4,1,400.00
SK Raina,SK Warne,0,0,0,0,0,0,1,0,1,0.00
JA Morkel,YK Pathan,1,3,1,0,1,1,0,15,7,214.28
JA Morkel,S Narwal,0,1,0,0,0,1,0,7,2,350.00
JA Morkel,SW Tait,1,2,0,0,1,0,0,6,4,150.00
JA Morkel,SR Watson,2,1,0,0,0,0,0,1,3,33.33
JA Morkel,SK Warne,2,2,2,0,1,2,0,22,9,244.44
JA Morkel,AA Jhunjhunwala,4,3,1,0,0,1,0,11,9,122.22
MS Dhoni,SR Watson,0,0,0,0,0,0,1,0,1,0.00
S Badrinath,SR Watson,0,0,0,0,1,0,0,4,1,400.00
MJ Lumb,JA Morkel,2,1,1,0,3,0,1,15,8,187.50
MJ Lumb,DE Bollinger,5,1,0,0,0,0,0,1,6,16.66
MJ Lumb,S Tyagi,4,1,1,0,2,1,0,17,9,188.88
MJ Lumb,M Muralitharan,2,0,0,0,1,0,0,4,3,133.33
NV Ojha,JA Morkel,0,6,0,0,3,1,0,24,10,240.00
NV Ojha,DE Bollinger,7,5,0,0,1,0,0,9,13,69.23
NV Ojha,S Tyagi,1,4,0,0,2,1,0,18,8,225.00
NV Ojha,M Muralitharan,4,5,0,0,0,1,0,11,10,110.00
NV Ojha,SB Jakati,2,5,0,0,1,3,0,27,11,245.45
NV Ojha,SK Raina,1,1,0,0,1,0,0,5,3,166.66
YK Pathan,JA Morkel,0,0,0,0,1,0,1,4,2,200.00
SR Watson,JA Morkel,0,1,0,0,3,0,0,13,4,325.00
SR Watson,DE Bollinger,0,0,0,0,0,0,1,0,1,0.00
SR Watson,S Tyagi,2,1,1,0,1,0,0,7,5,140.00
SR Watson,M Muralitharan,1,2,0,0,1,4,0,30,8,375.00
SR Watson,SB Jakati,2,4,0,0,0,1,0,10,7,142.85
FY Fazal,DE Bollinger,0,1,0,0,0,0,0,1,1,100.00
FY Fazal,M Muralitharan,0,0,0,0,0,0,1,0,1,0.00
FY Fazal,SK Raina,0,3,0,0,0,0,0,3,3,100.00
AA Jhunjhunwala,DE Bollinger,0,1,0,0,0,0,1,1,2,50.00
AA Jhunjhunwala,M Muralitharan,1,0,0,0,0,1,0,6,2,300.00
AS Raut,DE Bollinger,1,1,0,0,0,0,0,1,2,50.00
AS Raut,S Tyagi,1,1,0,0,0,0,0,1,2,50.00
