Batsman,Bowler,0s,1s,2s,3s,4s,6s,Dismissal,Runs,Balls,SR
DA Warner,B Lee,7,0,2,0,1,1,0,14,11,127.27
DA Warner,PJ Sangwan,0,1,0,0,0,0,0,1,1,100.00
DA Warner,JH Kallis,1,1,0,0,1,0,1,5,4,125.00
DA Warner,SP Narine,2,1,0,0,0,0,0,1,3,33.33
V Sehwag,B Lee,0,1,0,0,0,0,0,1,1,100.00
V Sehwag,PJ Sangwan,0,2,0,0,2,1,0,16,5,320.00
V Sehwag,JH Kallis,0,0,1,0,1,0,1,6,3,200.00
DPMD Jayawardene,PJ Sangwan,2,3,0,0,1,0,0,7,6,116.66
DPMD Jayawardene,JH Kallis,4,5,0,0,0,0,0,5,9,55.55
DPMD Jayawardene,SP Narine,2,2,0,0,1,0,0,6,5,120.00
DPMD Jayawardene,R Bhatia,3,2,0,0,1,1,0,12,7,171.42
LRPL Taylor,PJ Sangwan,2,5,0,0,0,0,1,5,8,62.50
LRPL Taylor,JH Kallis,4,4,0,0,0,0,0,4,8,50.00
LRPL Taylor,SP Narine,1,1,0,0,0,0,0,1,2,50.00
LRPL Taylor,R Bhatia,4,4,1,0,0,0,0,6,9,66.66
IK Pathan,B Lee,1,3,1,0,3,0,0,17,8,212.50
IK Pathan,PJ Sangwan,0,1,1,0,1,0,0,7,3,233.33
IK Pathan,SP Narine,2,2,0,0,0,1,1,8,6,133.33
IK Pathan,R Bhatia,1,4,0,0,0,0,0,4,5,80.00
Y Nagar,B Lee,0,1,0,0,1,0,1,5,3,166.66
Y Nagar,PJ Sangwan,0,1,0,0,0,0,0,1,1,100.00
Y Nagar,R Bhatia,0,2,1,0,0,0,0,4,3,133.33
NV Ojha,B Lee,0,1,0,0,0,0,0,1,1,100.00
NV Ojha,SP Narine,3,1,0,0,0,0,1,1,5,20.00
S Nadeem,SP Narine,2,0,0,0,0,0,0,0,2,0.00
VR Aaron,SP Narine,0,1,0,0,0,0,0,1,1,100.00
BB McCullum,IK Pathan,3,2,2,0,3,0,0,18,10,180.00
BB McCullum,S Nadeem,1,6,0,0,0,0,0,6,7,85.71
BB McCullum,M Morkel,3,4,1,1,1,0,0,13,10,130.00
BB McCullum,UT Yadav,5,2,1,0,2,0,1,12,11,109.09
BB McCullum,VR Aaron,2,3,0,0,1,0,0,7,6,116.66
G Gambhir,IK Pathan,1,1,0,0,0,0,0,1,2,50.00
G Gambhir,S Nadeem,4,2,1,0,2,1,0,18,10,180.00
G Gambhir,M Morkel,1,1,1,1,2,0,0,14,6,233.33
G Gambhir,VR Aaron,0,1,1,0,0,0,1,3,3,100.00
JH Kallis,IK Pathan,2,2,1,0,1,0,0,8,6,133.33
JH Kallis,S Nadeem,2,4,0,0,1,0,0,8,7,114.28
JH Kallis,M Morkel,0,2,0,0,0,0,0,2,2,100.00
JH Kallis,UT Yadav,3,2,2,0,1,0,1,10,9,111.11
JH Kallis,VR Aaron,1,2,0,0,0,0,0,2,3,66.66
MK Tiwary,M Morkel,0,0,0,0,0,0,1,0,1,0.00
MK Tiwary,UT Yadav,0,1,1,0,0,0,0,3,2,150.00
MK Tiwary,VR Aaron,2,0,0,0,0,0,0,5,3,166.66
YK Pathan,M Morkel,0,2,1,0,0,0,0,4,3,133.33
YK Pathan,UT Yadav,0,2,0,0,0,0,0,2,2,100.00
YK Pathan,VR Aaron,5,1,0,0,0,0,0,1,6,16.66
DB Das,M Morkel,1,1,0,0,0,0,0,1,2,50.00
DB Das,VR Aaron,1,0,0,0,0,0,0,0,1,0.00
