Batsman,Bowler,0s,1s,2s,3s,4s,6s,Dismissal,Runs,Balls,SR
JEC Franklin,Z Khan,3,1,0,0,0,0,0,1,4,25.00
JEC Franklin,R Vinay Kumar,1,0,0,0,0,0,1,0,2,0.00
SR Tendulkar,Z Khan,6,1,0,0,0,0,0,1,7,14.28
SR Tendulkar,R Vinay Kumar,6,1,0,0,3,0,0,13,10,130.00
SR Tendulkar,HV Patel,2,2,1,0,1,0,1,8,7,114.28
SR Tendulkar,J Syed Mohammad,1,2,0,0,0,0,0,2,3,66.66
RG Sharma,R Vinay Kumar,2,0,0,0,0,0,1,0,3,0.00
KD Karthik,Z Khan,1,0,0,0,0,0,0,0,1,0.00
KD Karthik,R Vinay Kumar,1,2,0,0,0,0,0,2,3,66.66
KD Karthik,HV Patel,6,5,1,0,1,0,0,11,13,84.61
KD Karthik,J Syed Mohammad,2,5,2,0,2,1,0,23,12,191.66
KD Karthik,M Muralitharan,4,2,3,0,0,0,1,8,10,80.00
AT Rayudu,HV Patel,1,1,0,0,1,0,1,5,4,125.00
AT Rayudu,J Syed Mohammad,2,3,2,0,1,0,0,11,8,137.50
AT Rayudu,M Muralitharan,1,2,2,0,0,0,0,6,5,120.00
DR Smith,J Syed Mohammad,0,1,0,0,0,0,0,1,1,100.00
DR Smith,M Muralitharan,0,1,0,0,0,0,1,1,2,50.00
KA Pollard,Z Khan,3,3,0,0,0,0,0,3,6,50.00
KA Pollard,R Vinay Kumar,0,1,1,0,0,2,0,15,4,375.00
KA Pollard,M Muralitharan,0,3,0,0,0,0,0,3,3,100.00
Harbhajan Singh,Z Khan,1,3,0,0,2,0,0,11,6,183.33
Harbhajan Singh,R Vinay Kumar,0,1,1,0,0,0,0,3,2,150.00
Harbhajan Singh,M Muralitharan,1,2,0,0,1,0,0,6,4,150.00
TM Dilshan,SL Malinga,7,1,0,0,1,0,0,5,9,55.55
TM Dilshan,RP Singh,5,2,0,0,1,0,0,6,8,75.00
TM Dilshan,KA Pollard,1,1,0,0,0,0,0,1,2,50.00
TM Dilshan,Harbhajan Singh,2,1,1,0,1,0,0,7,5,140.00
TM Dilshan,PP Ojha,0,0,0,0,0,0,1,0,1,0.00
CH Gayle,SL Malinga,7,3,0,0,1,0,0,7,11,63.63
CH Gayle,RP Singh,5,5,0,0,2,1,0,19,13,146.15
CH Gayle,KA Pollard,2,5,1,0,2,1,0,21,11,190.90
CH Gayle,Harbhajan Singh,7,6,0,0,0,0,0,6,13,46.15
CH Gayle,PP Ojha,3,2,1,0,0,3,0,22,9,244.44
CH Gayle,RG Sharma,0,1,0,0,0,1,0,7,2,350.00
V Kohli,SL Malinga,0,3,0,0,1,0,0,7,4,175.00
V Kohli,RP Singh,0,3,0,0,0,0,0,3,3,100.00
V Kohli,KA Pollard,0,4,0,0,0,1,0,10,5,200.00
V Kohli,Harbhajan Singh,1,5,0,0,0,0,0,5,6,83.33
V Kohli,PP Ojha,1,2,0,0,0,0,0,2,3,66.66
V Kohli,RG Sharma,1,1,1,0,0,1,0,9,4,225.00
