Batsman,Bowler,0s,1s,2s,3s,4s,6s,Dismissal,Runs,Balls,SR
Salman Butt,SM Pollock,3,1,1,0,1,0,1,7,7,100.00
Salman Butt,A Nehra,5,0,0,0,0,1,0,6,6,100.00
A Chopra,SM Pollock,3,1,0,0,0,0,0,1,4,25.00
SC Ganguly,SM Pollock,4,1,0,0,0,0,0,1,5,20.00
SC Ganguly,A Nehra,2,2,0,0,1,0,0,6,5,120.00
SC Ganguly,RR Raje,2,2,0,0,1,0,0,6,5,120.00
SC Ganguly,DJ Thornely,2,2,0,0,0,0,1,2,5,40.00
DJ Hussey,SM Pollock,1,0,0,0,0,0,1,0,2,0.00
DJ Hussey,A Nehra,3,2,0,0,0,0,0,2,5,40.00
Mohammad Hafeez,SM Pollock,3,1,0,0,0,0,1,1,5,20.00
Mohammad Hafeez,DJ Bravo,5,0,0,0,1,0,0,4,6,66.66
WP Saha,SM Pollock,0,1,0,0,0,0,0,1,1,100.00
WP Saha,DJ Bravo,4,0,0,0,0,0,1,0,5,0.00
LR Shukla,A Nehra,2,0,0,0,0,0,0,0,2,0.00
LR Shukla,DJ Bravo,1,0,0,0,0,0,0,0,1,0.00
LR Shukla,RR Raje,0,0,0,0,0,0,1,0,1,0.00
AB Agarkar,DJ Bravo,0,1,1,0,0,0,1,3,3,100.00
AB Agarkar,RR Raje,2,2,0,0,2,0,0,10,6,166.66
AB Agarkar,DJ Thornely,3,2,0,0,0,0,0,2,5,40.00
Shoaib Akhtar,DJ Bravo,0,1,0,0,0,0,0,1,1,100.00
Shoaib Akhtar,RR Raje,1,0,0,0,0,0,1,0,2,0.00
Shoaib Akhtar,DJ Thornely,3,1,0,0,0,0,0,1,4,25.00
I Sharma,DJ Bravo,1,0,0,0,1,0,0,4,2,200.00
I Sharma,DJ Thornely,2,0,0,0,0,0,1,0,3,0.00
AB Dinda,DJ Thornely,0,1,0,0,0,0,0,1,1,100.00
ST Jayasuriya,Shoaib Akhtar,0,1,1,0,3,2,0,27,7,385.71
ST Jayasuriya,I Sharma,3,1,0,0,3,1,0,19,8,237.50
ST Jayasuriya,AB Agarkar,0,2,0,0,0,0,0,2,2,100.00
SR Tendulkar,Shoaib Akhtar,2,0,0,0,0,0,1,0,3,0.00
RV Uthappa,Shoaib Akhtar,1,1,0,0,0,0,0,1,2,50.00
RV Uthappa,I Sharma,3,0,0,0,2,0,1,8,6,133.33
DJ Thornely,I Sharma,2,0,0,0,0,0,0,0,2,0.00
DJ Thornely,AB Agarkar,3,1,0,0,0,0,0,1,4,25.00
