Batsman,Bowler,0s,1s,2s,3s,4s,6s,Dismissal,Runs,Balls,SR
GJ Maxwell,AA Chavan,5,2,1,0,0,2,0,16,10,160.00
GJ Maxwell,JP Faulkner,3,1,0,0,0,1,0,7,5,140.00
GJ Maxwell,SR Watson,1,0,0,0,0,0,1,0,2,0.00
AP Tare,AA Chavan,5,1,0,0,2,0,0,9,8,112.50
AP Tare,JP Faulkner,0,3,1,0,2,0,0,13,6,216.66
AP Tare,SR Watson,1,1,1,0,0,1,0,9,4,225.00
AP Tare,STR Binny,1,1,0,0,2,0,0,9,4,225.00
AP Tare,PV Tambe,1,4,2,0,1,0,0,12,8,150.00
AP Tare,KK Cooper,3,1,1,0,1,0,1,7,7,100.00
KD Karthik,JP Faulkner,0,1,0,0,0,0,0,1,1,100.00
KD Karthik,SR Watson,5,0,0,0,1,0,0,4,6,66.66
KD Karthik,STR Binny,0,2,0,0,0,0,0,2,2,100.00
KD Karthik,PV Tambe,3,4,0,0,2,0,1,12,10,120.00
KD Karthik,KK Cooper,0,2,0,0,0,0,0,2,2,100.00
RG Sharma,JP Faulkner,0,0,0,0,1,0,1,4,2,200.00
RG Sharma,SR Watson,0,2,0,0,0,0,0,2,2,100.00
RG Sharma,PV Tambe,0,1,0,0,1,0,0,5,2,250.00
RG Sharma,KK Cooper,1,1,1,0,0,0,0,3,3,100.00
KA Pollard,JP Faulkner,2,2,0,0,0,0,0,2,4,50.00
KA Pollard,SR Watson,1,2,0,0,1,0,0,6,4,150.00
KA Pollard,PV Tambe,1,2,0,0,0,1,0,8,4,200.00
KA Pollard,KK Cooper,1,1,0,0,0,0,0,1,2,50.00
AT Rayudu,SR Watson,1,1,1,0,0,0,1,3,4,75.00
AT Rayudu,KK Cooper,0,2,1,0,0,0,0,4,3,133.33
Harbhajan Singh,JP Faulkner,1,2,0,0,0,0,0,2,3,66.66
Harbhajan Singh,SR Watson,0,1,0,0,1,0,0,5,2,250.00
Harbhajan Singh,KK Cooper,0,0,1,0,0,1,0,8,2,400.00
MG Johnson,JP Faulkner,0,1,0,0,0,0,1,1,2,50.00
MG Johnson,KK Cooper,4,1,0,0,0,0,0,1,5,20.00
SL Malinga,JP Faulkner,0,1,0,0,0,0,0,1,1,100.00
R Dravid,MG Johnson,3,0,0,0,1,0,1,4,5,80.00
AM Rahane,MG Johnson,0,1,0,0,0,0,0,1,1,100.00
AM Rahane,DS Kulkarni,5,0,0,1,0,0,1,3,7,42.85
JP Faulkner,MG Johnson,3,2,0,0,1,0,0,6,6,100.00
JP Faulkner,DS Kulkarni,3,2,0,0,1,0,1,6,7,85.71
SV Samson,MG Johnson,2,0,0,0,1,0,1,4,4,100.00
SR Watson,MG Johnson,1,1,0,0,0,0,0,1,2,50.00
SR Watson,DS Kulkarni,2,2,0,0,0,0,0,2,4,50.00
SR Watson,Harbhajan Singh,3,3,0,0,0,0,0,3,6,50.00
SR Watson,SL Malinga,0,1,0,0,0,2,0,13,3,433.33
SR Watson,PP Ojha,0,0,0,0,0,0,1,0,1,0.00
STR Binny,MG Johnson,3,0,1,0,0,0,0,2,4,50.00
STR Binny,DS Kulkarni,0,1,0,0,0,0,0,1,1,100.00
STR Binny,Harbhajan Singh,2,3,1,1,1,0,0,12,8,150.00
STR Binny,SL Malinga,3,5,0,0,0,0,0,5,8,62.50
STR Binny,PP Ojha,2,3,0,0,2,1,0,17,8,212.50
DH Yagnik,Harbhajan Singh,4,2,1,0,1,0,1,8,9,88.88
DH Yagnik,PP Ojha,3,2,0,0,0,0,0,2,5,40.00
BJ Hodge,MG Johnson,1,0,0,0,1,0,0,4,2,200.00
BJ Hodge,DS Kulkarni,1,1,2,0,1,0,0,9,5,180.00
BJ Hodge,Harbhajan Singh,1,0,0,0,0,0,0,0,1,0.00
BJ Hodge,SL Malinga,3,3,1,0,1,0,1,9,9,100.00
BJ Hodge,PP Ojha,5,1,0,0,4,0,0,17,10,170.00
KK Cooper,SL Malinga,2,1,0,0,0,1,0,7,4,175.00
