Batsman,Bowler,0s,1s,2s,3s,4s,6s,Dismissal,Runs,Balls,SR
S Dhawan,B Lee,1,2,0,0,0,0,0,2,3,66.66
S Dhawan,IK Pathan,0,0,0,0,0,0,1,0,1,0.00
SR Tendulkar,B Lee,0,1,2,0,0,0,0,5,3,166.66
SR Tendulkar,IK Pathan,4,2,0,0,0,0,0,2,6,33.33
SR Tendulkar,L Ablish,0,1,0,0,1,0,0,5,2,250.00
SR Tendulkar,PP Chawla,2,3,1,0,1,0,1,9,8,112.50
SR Tendulkar,Yuvraj Singh,0,3,0,0,0,0,0,3,3,100.00
SR Tendulkar,RR Powar,1,1,0,0,1,0,0,5,3,166.66
AT Rayudu,B Lee,4,0,0,0,2,0,0,8,6,133.33
AT Rayudu,IK Pathan,0,2,0,0,3,0,0,14,5,280.00
AT Rayudu,L Ablish,1,1,0,0,2,0,0,9,4,225.00
AT Rayudu,PP Chawla,0,2,0,0,0,0,1,2,3,66.66
SS Tiwary,PP Chawla,0,1,0,0,0,0,1,1,2,50.00
SS Tiwary,Yuvraj Singh,0,3,0,0,0,0,0,3,3,100.00
JP Duminy,B Lee,0,4,0,0,0,1,0,10,5,200.00
JP Duminy,IK Pathan,1,2,0,0,0,0,0,2,3,66.66
JP Duminy,L Ablish,0,2,0,0,0,0,0,2,2,100.00
JP Duminy,PP Chawla,2,2,0,0,0,0,0,2,4,50.00
JP Duminy,Yuvraj Singh,0,2,0,0,1,0,0,6,3,200.00
JP Duminy,RR Powar,3,7,0,0,0,1,0,13,11,118.18
R Sathish,IK Pathan,1,0,2,0,0,0,1,4,4,100.00
R Sathish,PP Chawla,2,2,2,0,1,0,0,10,7,142.85
R Sathish,RR Powar,0,6,0,0,0,0,0,6,6,100.00
KA Pollard,B Lee,1,1,0,0,1,0,0,5,3,166.66
KA Pollard,IK Pathan,0,2,0,0,1,0,1,6,4,150.00
KA Pollard,Yuvraj Singh,1,1,1,0,0,0,0,3,3,100.00
KA Pollard,RR Powar,2,0,2,0,0,0,0,4,4,100.00
Harbhajan Singh,B Lee,0,2,1,0,1,0,0,8,4,200.00
Harbhajan Singh,IK Pathan,0,1,0,0,0,0,0,1,1,100.00
Harbhajan Singh,L Ablish,1,0,0,0,0,0,1,0,2,0.00
R McLaren,L Ablish,0,0,0,0,0,0,1,0,1,0.00
Z Khan,L Ablish,1,0,0,0,0,0,0,0,1,0.00
AB Barath,R McLaren,4,3,0,0,0,0,0,3,7,42.85
AB Barath,Z Khan,2,0,0,0,1,0,0,4,3,133.33
AB Barath,SL Malinga,1,0,0,0,1,0,0,4,2,200.00
AB Barath,Harbhajan Singh,2,3,0,0,1,1,0,13,7,185.71
AB Barath,R Sathish,2,3,1,0,1,0,0,9,7,128.57
AB Barath,JP Duminy,0,0,0,0,0,0,1,0,1,0.00
DPMD Jayawardene,R McLaren,1,0,0,0,2,0,0,8,3,266.66
DPMD Jayawardene,Z Khan,1,1,0,0,2,0,0,9,4,225.00
DPMD Jayawardene,SL Malinga,5,0,0,0,3,0,1,12,9,133.33
DPMD Jayawardene,Harbhajan Singh,0,2,0,0,0,0,0,2,2,100.00
KC Sangakkara,R McLaren,0,2,0,0,0,0,0,2,2,100.00
KC Sangakkara,Z Khan,4,2,1,0,3,0,0,16,10,160.00
KC Sangakkara,SL Malinga,1,2,0,0,1,0,1,6,5,120.00
KC Sangakkara,Harbhajan Singh,2,5,0,0,1,0,0,9,8,112.50
KC Sangakkara,R Sathish,1,4,0,0,0,0,0,4,5,80.00
KC Sangakkara,JP Duminy,1,5,0,0,0,1,0,11,7,157.14
KC Sangakkara,KA Pollard,1,2,1,0,1,0,0,8,5,160.00
Yuvraj Singh,SL Malinga,2,0,1,0,0,0,0,2,3,66.66
Yuvraj Singh,Harbhajan Singh,2,3,1,0,1,0,0,9,7,128.57
Yuvraj Singh,JP Duminy,6,4,0,0,0,0,0,4,10,40.00
Yuvraj Singh,KA Pollard,0,0,0,0,0,0,1,0,1,0.00
IK Pathan,Z Khan,0,1,1,0,1,0,0,7,3,233.33
IK Pathan,SL Malinga,0,2,0,0,0,1,0,8,3,266.66
RS Sodhi,SL Malinga,1,0,0,0,1,0,0,4,2,200.00
