Batsman,Bowler,0s,1s,2s,3s,4s,6s,Dismissal,Runs,Balls,SR
M Vijay,Sandeep Sharma,2,1,0,0,1,0,1,5,5,100.00
M Vijay,BE Hendricks,3,0,0,0,0,0,0,0,3,0.00
KP Pietersen,Sandeep Sharma,4,4,0,0,1,0,0,8,9,88.88
KP Pietersen,BE Hendricks,2,1,2,0,3,1,0,23,9,255.55
KP Pietersen,AR Patel,4,2,1,0,0,0,1,4,8,50.00
KP Pietersen,R Dhawan,0,1,1,0,2,0,0,11,4,275.00
KP Pietersen,Shivam Sharma,0,1,1,0,0,0,0,3,2,150.00
KD Karthik,Sandeep Sharma,2,3,0,0,0,1,0,9,6,150.00
KD Karthik,BE Hendricks,0,1,1,0,1,0,1,7,4,175.00
KD Karthik,AR Patel,2,4,0,0,1,0,0,8,7,114.28
KD Karthik,R Dhawan,6,5,0,0,3,1,0,23,15,153.33
KD Karthik,Shivam Sharma,2,6,1,0,2,1,0,22,12,183.33
JP Duminy,BE Hendricks,1,0,1,0,0,0,1,2,3,66.66
JP Duminy,AR Patel,3,0,0,0,0,0,0,0,3,0.00
JP Duminy,R Dhawan,0,4,0,0,1,0,0,8,5,160.00
JP Duminy,Shivam Sharma,3,7,0,0,0,0,0,7,10,70.00
KM Jadhav,Sandeep Sharma,0,0,0,0,0,0,1,0,1,0.00
MA Agarwal,Sandeep Sharma,0,0,0,0,0,1,1,6,2,300.00
MK Tiwary,Sandeep Sharma,0,0,0,0,1,0,0,4,1,400.00
MK Tiwary,BE Hendricks,1,2,0,0,0,0,0,2,3,66.66
MK Tiwary,AR Patel,1,2,1,0,0,0,0,4,4,100.00
WD Parnell,BE Hendricks,0,0,1,0,0,0,1,2,2,100.00
Mohammed Shami,AR Patel,1,1,0,0,0,0,0,1,2,50.00
V Sehwag,WD Parnell,1,1,1,0,0,0,0,3,3,100.00
V Sehwag,Mohammed Shami,8,1,0,0,2,0,0,9,11,81.81
V Sehwag,JD Unadkat,2,1,1,0,0,0,0,3,4,75.00
V Sehwag,Imran Tahir,0,1,0,0,0,0,0,1,1,100.00
V Sehwag,JP Duminy,0,1,0,0,0,1,1,7,3,233.33
M Vohra,WD Parnell,5,1,0,0,2,1,0,15,9,166.66
M Vohra,Mohammed Shami,1,2,0,0,2,2,0,22,7,314.28
M Vohra,JD Unadkat,1,0,0,0,0,0,0,5,2,250.00
M Vohra,Imran Tahir,0,0,0,0,0,0,1,0,1,0.00
GJ Maxwell,Imran Tahir,3,1,2,0,0,1,1,11,8,137.50
GJ Maxwell,JP Duminy,0,3,0,0,0,0,0,3,3,100.00
DA Miller,Imran Tahir,1,1,0,0,0,0,0,1,2,50.00
DA Miller,JP Duminy,2,1,0,0,0,0,1,1,4,25.00
WP Saha,Mohammed Shami,0,0,0,0,0,0,1,0,1,0.00
WP Saha,JD Unadkat,1,1,0,1,0,0,0,4,3,133.33
WP Saha,JP Duminy,3,5,0,0,1,0,0,9,9,100.00
AR Patel,WD Parnell,3,1,0,0,3,0,0,13,7,185.71
AR Patel,Mohammed Shami,3,1,0,0,1,0,0,5,5,100.00
AR Patel,JD Unadkat,6,4,1,0,1,1,0,16,13,123.07
AR Patel,Imran Tahir,2,3,0,0,0,0,0,3,5,60.00
AR Patel,JP Duminy,0,5,0,0,0,0,0,5,5,100.00
GJ Bailey,JD Unadkat,0,2,0,0,0,0,0,2,2,100.00
GJ Bailey,Imran Tahir,1,2,1,0,0,0,1,4,5,80.00
R Dhawan,WD Parnell,0,0,2,0,1,0,0,8,3,266.66
R Dhawan,Imran Tahir,2,0,0,0,0,0,0,0,2,0.00
