Batsman,Bowler,0s,1s,2s,3s,4s,6s,Dismissal,Runs,Balls,SR
S Sohal,RJ Harris,4,1,0,0,0,1,0,7,6,116.66
S Sohal,RP Singh,4,0,1,0,0,0,1,2,6,33.33
SM Katich,RP Singh,1,2,0,0,2,0,0,10,5,200.00
SM Katich,A Symonds,3,1,0,0,0,0,1,1,5,20.00
LA Pomersbach,A Symonds,1,1,0,0,0,0,0,1,2,50.00
Yuvraj Singh,RJ Harris,2,1,0,0,1,0,0,5,4,125.00
Yuvraj Singh,RP Singh,0,1,0,0,0,0,0,1,1,100.00
Yuvraj Singh,A Symonds,2,1,0,0,0,1,0,7,4,175.00
Yuvraj Singh,RG Sharma,1,1,0,0,1,0,0,5,3,166.66
Yuvraj Singh,TL Suman,3,1,0,0,0,0,0,1,4,25.00
Yuvraj Singh,Y Venugopal Rao,0,1,0,0,0,0,1,1,2,50.00
KC Sangakkara,RJ Harris,1,2,1,0,0,1,0,10,5,200.00
KC Sangakkara,RP Singh,0,2,0,0,0,0,1,2,3,66.66
KC Sangakkara,A Symonds,1,0,0,0,0,0,0,0,1,0.00
KC Sangakkara,RG Sharma,1,2,2,1,2,0,0,17,8,212.50
KC Sangakkara,TL Suman,5,6,2,0,1,0,0,14,14,100.00
KC Sangakkara,Y Venugopal Rao,1,5,0,0,0,0,0,5,6,83.33
KC Sangakkara,PP Ojha,1,4,0,0,1,0,0,8,6,133.33
WA Mota,RJ Harris,1,2,0,0,0,0,0,2,3,66.66
WA Mota,RG Sharma,0,1,0,0,0,0,0,1,1,100.00
WA Mota,TL Suman,1,3,0,0,0,0,1,3,5,60.00
WA Mota,Y Venugopal Rao,2,2,0,0,0,0,0,2,4,50.00
WA Mota,PP Ojha,2,4,0,0,0,0,0,4,6,66.66
IK Pathan,RJ Harris,1,1,0,0,1,0,0,5,3,166.66
IK Pathan,RP Singh,0,2,3,0,0,0,1,8,6,133.33
IK Pathan,TL Suman,1,0,0,0,1,0,0,4,2,200.00
B Lee,RJ Harris,3,0,0,0,0,0,0,0,3,0.00
B Lee,RP Singh,2,0,0,0,0,0,0,0,2,0.00
PP Chawla,RP Singh,0,1,0,0,0,0,0,1,1,100.00
AC Gilchrist,B Lee,3,1,0,0,1,0,0,5,5,100.00
AC Gilchrist,IK Pathan,2,0,0,0,3,1,0,18,6,300.00
AC Gilchrist,RR Powar,1,0,0,0,0,0,1,0,2,0.00
HH Gibbs,B Lee,4,1,1,0,1,0,0,7,7,100.00
HH Gibbs,S Sreesanth,8,1,0,0,2,0,0,9,11,81.81
HH Gibbs,RR Powar,0,1,0,0,0,0,0,1,1,100.00
HH Gibbs,PP Chawla,6,3,1,0,0,0,0,5,10,50.00
HH Gibbs,Yuvraj Singh,5,0,2,0,0,0,1,4,8,50.00
TL Suman,RR Powar,0,0,0,0,0,0,1,0,1,0.00
A Symonds,B Lee,1,2,0,0,0,0,0,2,3,66.66
A Symonds,S Sreesanth,0,1,0,0,0,0,0,1,1,100.00
A Symonds,RR Powar,4,1,2,0,1,0,0,9,8,112.50
A Symonds,PP Chawla,1,4,3,0,0,0,0,10,8,125.00
A Symonds,Yuvraj Singh,2,1,1,0,0,0,1,3,5,60.00
RG Sharma,B Lee,2,3,1,0,1,1,0,15,8,187.50
RG Sharma,IK Pathan,2,1,1,0,1,0,1,7,6,116.66
RG Sharma,PP Chawla,2,1,0,0,0,0,0,1,3,33.33
RG Sharma,Yuvraj Singh,2,2,0,0,0,0,0,2,4,50.00
RG Sharma,WA Mota,1,1,0,0,1,2,0,17,5,340.00
Y Venugopal Rao,Yuvraj Singh,0,0,0,0,0,0,1,0,1,0.00
DB Ravi Teja,B Lee,2,0,0,0,0,0,0,0,2,0.00
DB Ravi Teja,IK Pathan,2,1,0,0,0,0,0,1,3,33.33
DB Ravi Teja,PP Chawla,2,0,0,0,1,0,0,4,3,133.33
DB Ravi Teja,Yuvraj Singh,3,2,1,0,0,0,0,4,6,66.66
DB Ravi Teja,WA Mota,0,1,0,0,0,0,0,1,1,100.00
RJ Harris,B Lee,1,0,0,0,0,0,0,0,1,0.00
RJ Harris,IK Pathan,0,0,1,0,0,0,0,2,1,200.00
RP Singh,IK Pathan,1,0,0,0,0,0,1,0,2,0.00
