Batsman,Bowler,0s,1s,2s,3s,4s,6s,Dismissal,Runs,Balls,SR
ST Jayasuriya,DP Nannes,0,0,0,0,0,0,1,0,1,0.00
SR Tendulkar,DP Nannes,5,2,0,0,0,0,0,2,7,28.57
SR Tendulkar,AM Salvi,5,1,0,0,2,0,0,9,8,112.50
SR Tendulkar,PJ Sangwan,1,2,0,0,1,0,0,6,4,150.00
SR Tendulkar,A Mishra,1,6,0,0,3,0,0,18,10,180.00
SR Tendulkar,R Bhatia,6,3,0,0,2,0,1,11,12,91.66
JP Duminy,DP Nannes,2,1,0,0,2,0,1,9,6,150.00
Mohammad Ashraful,DP Nannes,3,0,0,0,0,0,0,0,3,0.00
Mohammad Ashraful,AM Salvi,2,2,0,0,0,0,0,2,4,50.00
Mohammad Ashraful,PJ Sangwan,2,0,0,0,0,0,1,0,3,0.00
AM Rahane,DP Nannes,0,3,0,0,1,0,0,7,4,175.00
AM Rahane,AM Salvi,0,4,0,0,0,1,0,10,5,200.00
AM Rahane,PJ Sangwan,7,0,2,0,2,0,1,12,12,100.00
AM Rahane,A Mishra,5,5,2,0,2,1,0,23,15,153.33
AM Rahane,R Bhatia,1,4,0,0,0,0,0,4,5,80.00
AM Nayar,AM Salvi,0,0,0,0,0,0,1,0,1,0.00
AM Nayar,R Bhatia,1,0,2,0,0,0,0,4,3,133.33
PR Shah,DP Nannes,0,0,0,0,0,0,1,0,1,0.00
PR Shah,AM Salvi,3,2,1,0,0,0,0,4,6,66.66
PR Shah,R Bhatia,0,2,1,0,1,0,0,8,4,200.00
Harbhajan Singh,DP Nannes,0,1,0,0,1,0,0,5,2,250.00
Harbhajan Singh,PJ Sangwan,2,1,1,0,1,0,0,7,5,140.00
G Gambhir,SL Malinga,3,4,1,0,1,0,1,10,10,100.00
G Gambhir,DS Kulkarni,2,3,0,0,3,0,0,15,8,187.50
G Gambhir,RA Shaikh,1,1,0,0,1,0,0,5,3,166.66
G Gambhir,Harbhajan Singh,4,2,1,0,0,0,0,4,7,57.14
G Gambhir,AM Nayar,3,1,1,0,2,0,0,11,7,157.14
G Gambhir,ST Jayasuriya,1,2,0,0,0,0,0,2,3,66.66
DA Warner,SL Malinga,0,1,0,0,0,0,0,1,1,100.00
DA Warner,DS Kulkarni,1,2,0,0,0,1,1,8,5,160.00
DA Warner,RA Shaikh,0,2,0,0,1,0,0,6,3,200.00
V Sehwag,SL Malinga,0,3,0,0,0,0,0,3,3,100.00
V Sehwag,DS Kulkarni,1,1,0,0,3,0,0,13,5,260.00
V Sehwag,Harbhajan Singh,1,5,0,0,0,0,1,5,7,71.42
V Sehwag,AM Nayar,0,2,1,0,1,1,0,14,5,280.00
V Sehwag,ST Jayasuriya,1,3,1,0,1,1,0,15,7,214.28
TM Dilshan,SL Malinga,6,0,1,0,2,2,0,22,11,200.00
TM Dilshan,Harbhajan Singh,0,0,0,0,0,0,1,0,1,0.00
TM Dilshan,ST Jayasuriya,0,2,0,0,0,0,0,2,2,100.00
R Bhatia,Harbhajan Singh,1,1,0,0,0,0,1,1,3,33.33
R Bhatia,JP Duminy,3,1,0,0,0,0,0,1,4,25.00
AB de Villiers,Harbhajan Singh,1,1,0,0,1,0,1,5,4,125.00
AB de Villiers,JP Duminy,1,1,0,0,0,0,0,1,2,50.00
KD Karthik,Harbhajan Singh,1,0,0,0,0,0,0,0,1,0.00
A Mishra,Harbhajan Singh,0,1,0,0,0,0,0,1,1,100.00
A Mishra,JP Duminy,0,0,1,0,1,1,0,12,3,400.00
