Batsman,Bowler,0s,1s,2s,3s,4s,6s,Dismissal,Runs,Balls,SR
DR Smith,R Rampaul,2,1,0,0,0,0,0,1,3,33.33
DR Smith,RP Singh,4,2,1,0,0,0,0,4,7,57.14
DR Smith,JD Unadkat,4,5,0,0,1,1,0,15,11,136.36
DR Smith,R Vinay Kumar,5,0,1,0,3,2,0,26,11,236.36
DR Smith,J Syed Mohammad,0,2,1,0,0,0,1,4,4,100.00
SR Tendulkar,R Rampaul,3,0,1,0,5,0,0,22,9,244.44
SR Tendulkar,RP Singh,2,1,0,0,0,0,1,1,4,25.00
KD Karthik,R Rampaul,1,2,0,0,0,0,0,2,3,66.66
KD Karthik,RP Singh,0,2,0,0,0,0,0,2,2,100.00
KD Karthik,JD Unadkat,3,4,1,0,1,1,0,16,10,160.00
KD Karthik,R Vinay Kumar,4,1,2,0,1,0,0,9,8,112.50
KD Karthik,J Syed Mohammad,0,8,1,0,1,0,0,14,10,140.00
RG Sharma,R Rampaul,1,2,0,0,0,0,0,2,3,66.66
RG Sharma,J Syed Mohammad,0,4,0,0,1,0,0,8,5,160.00
KA Pollard,RP Singh,1,1,0,0,2,1,0,15,5,300.00
KA Pollard,JD Unadkat,2,1,0,0,0,0,0,1,3,33.33
KA Pollard,R Vinay Kumar,1,1,0,0,0,0,1,1,3,33.33
KA Pollard,J Syed Mohammad,0,1,2,0,0,2,0,17,5,340.00
Harbhajan Singh,R Rampaul,0,0,0,0,0,0,1,0,1,0.00
Harbhajan Singh,RP Singh,0,1,1,0,3,0,0,15,5,300.00
Harbhajan Singh,R Vinay Kumar,1,1,0,0,0,0,0,1,2,50.00
MG Johnson,R Rampaul,1,2,0,0,0,1,0,8,4,200.00
MG Johnson,RP Singh,0,1,0,0,0,0,0,1,1,100.00
SL Malinga,R Rampaul,1,0,0,0,0,0,0,0,1,0.00
CH Gayle,MG Johnson,6,2,0,0,2,1,0,16,11,145.45
CH Gayle,SL Malinga,4,1,0,0,0,0,0,1,5,20.00
CH Gayle,Harbhajan Singh,2,1,0,0,0,0,1,1,4,25.00
TM Dilshan,MG Johnson,4,2,0,0,1,0,0,6,7,85.71
TM Dilshan,SL Malinga,4,1,1,0,1,0,0,7,7,100.00
TM Dilshan,DS Kulkarni,3,0,0,0,0,0,1,0,4,0.00
V Kohli,DS Kulkarni,2,0,0,0,0,0,1,0,3,0.00
V Kohli,Harbhajan Singh,0,1,0,0,0,0,0,1,1,100.00
AB de Villiers,DS Kulkarni,0,1,0,0,0,0,1,1,2,50.00
AB de Villiers,Harbhajan Singh,0,1,0,0,0,0,0,1,1,100.00
SS Tiwary,SL Malinga,0,2,1,0,0,0,0,4,3,133.33
SS Tiwary,DS Kulkarni,2,3,0,0,0,0,0,3,5,60.00
SS Tiwary,Harbhajan Singh,2,6,0,0,0,1,0,12,9,133.33
SS Tiwary,DR Smith,0,0,1,0,0,0,1,2,2,100.00
KB Arun Karthik,DS Kulkarni,1,2,0,0,0,1,0,8,4,200.00
KB Arun Karthik,Harbhajan Singh,1,1,0,1,0,0,1,4,4,100.00
J Syed Mohammad,SL Malinga,1,1,0,0,1,0,0,5,3,166.66
J Syed Mohammad,Harbhajan Singh,3,2,0,0,0,0,0,2,5,40.00
J Syed Mohammad,DR Smith,1,0,1,0,0,0,1,2,3,66.66
R Rampaul,MG Johnson,1,0,0,0,0,0,0,0,1,0.00
R Rampaul,SL Malinga,2,1,1,0,1,0,0,7,5,140.00
R Rampaul,DS Kulkarni,2,1,0,0,0,0,0,1,3,33.33
R Rampaul,DR Smith,0,2,0,0,1,0,0,6,3,200.00
R Rampaul,KA Pollard,1,3,1,0,1,0,0,9,6,150.00
R Vinay Kumar,MG Johnson,3,1,0,0,1,0,0,5,5,100.00
R Vinay Kumar,SL Malinga,0,1,0,0,0,0,0,1,1,100.00
R Vinay Kumar,DS Kulkarni,2,1,0,0,0,0,0,1,3,33.33
R Vinay Kumar,DR Smith,2,1,0,0,2,0,0,9,5,180.00
R Vinay Kumar,KA Pollard,1,2,2,0,1,0,0,10,6,166.66
