Batsman,Bowler,0s,1s,2s,3s,4s,6s,Dismissal,Runs,Balls,SR
SE Marsh,M Muralitharan,1,1,0,0,1,0,0,5,3,166.66
SE Marsh,M Ntini,6,2,0,0,2,1,1,16,12,133.33
SE Marsh,MS Gony,0,2,0,0,0,0,0,2,2,100.00
JR Hopes,M Muralitharan,2,0,1,0,0,0,0,2,3,66.66
JR Hopes,M Ntini,1,0,0,0,0,0,1,0,2,0.00
KC Sangakkara,M Ntini,1,0,0,1,0,0,0,3,2,150.00
KC Sangakkara,MS Gony,1,0,0,0,0,0,1,0,2,0.00
Yuvraj Singh,M Ntini,0,1,0,0,0,0,0,1,1,100.00
Yuvraj Singh,MS Gony,4,1,1,0,0,0,1,3,7,42.85
DPMD Jayawardene,M Ntini,1,1,0,0,0,0,0,1,2,50.00
DPMD Jayawardene,MS Gony,3,1,1,0,1,0,0,7,6,116.66
DPMD Jayawardene,JA Morkel,1,0,0,0,0,0,1,0,2,0.00
IK Pathan,M Ntini,3,2,0,0,0,0,0,2,5,40.00
IK Pathan,MS Gony,6,1,0,0,0,0,0,1,7,14.28
WA Mota,M Muralitharan,2,4,0,0,0,0,0,4,6,66.66
WA Mota,JA Morkel,2,4,1,0,1,0,1,10,9,111.11
WA Mota,L Balaji,4,5,1,0,1,0,0,11,11,100.00
PP Chawla,M Muralitharan,3,1,2,0,0,0,1,5,7,71.42
PP Chawla,JA Morkel,4,1,0,0,1,0,0,5,6,83.33
PP Chawla,L Balaji,0,2,0,0,0,0,0,2,2,100.00
RR Powar,M Muralitharan,3,2,0,0,0,0,0,2,5,40.00
RR Powar,JA Morkel,3,2,0,0,1,1,0,12,7,171.42
RR Powar,L Balaji,4,2,0,0,3,0,0,14,9,155.55
S Sreesanth,L Balaji,2,0,0,0,0,0,0,0,2,0.00
PA Patel,IK Pathan,6,5,0,0,1,0,0,9,12,75.00
PA Patel,S Sreesanth,2,1,0,0,1,0,0,5,4,125.00
PA Patel,RR Powar,5,4,0,0,3,0,0,16,12,133.33
PA Patel,VRV Singh,4,2,0,0,1,0,0,6,7,85.71
PA Patel,JR Hopes,3,3,0,0,2,0,0,11,8,137.50
PA Patel,PP Chawla,1,4,0,0,0,0,0,4,5,80.00
S Vidyut,IK Pathan,2,1,0,0,1,0,1,5,5,100.00
S Vidyut,S Sreesanth,1,1,0,0,0,0,0,1,2,50.00
SK Raina,IK Pathan,4,2,0,0,0,1,0,8,7,114.28
SK Raina,RR Powar,1,3,0,0,2,0,0,11,6,183.33
SK Raina,VRV Singh,2,2,0,0,0,1,0,8,5,160.00
SK Raina,JR Hopes,0,3,0,0,0,1,0,9,4,225.00
SK Raina,PP Chawla,5,3,1,0,2,1,0,19,12,158.33
