Batsman,Bowler,0s,1s,2s,3s,4s,6s,Dismissal,Runs,Balls,SR
SC Ganguly,AA Chavan,3,1,0,0,0,0,0,1,4,25.00
SC Ganguly,SW Tait,2,2,0,0,0,0,1,2,5,40.00
SC Ganguly,SR Watson,1,3,1,0,0,0,0,5,5,100.00
SC Ganguly,J Botha,2,0,1,0,1,0,0,6,4,150.00
MJ Clarke,AA Chavan,0,2,0,0,0,0,0,2,2,100.00
MJ Clarke,SW Tait,5,0,0,0,0,0,0,5,6,83.33
MJ Clarke,SR Watson,3,2,1,0,1,0,0,8,7,114.28
MJ Clarke,J Botha,1,1,0,0,0,0,0,1,2,50.00
MJ Clarke,STR Binny,0,0,0,0,0,0,1,0,1,0.00
RV Uthappa,SW Tait,4,0,1,0,0,0,1,2,6,33.33
RV Uthappa,J Botha,1,1,0,0,0,0,0,1,2,50.00
RV Uthappa,STR Binny,2,3,1,0,0,0,0,5,6,83.33
RV Uthappa,SK Trivedi,0,5,0,0,0,0,0,5,5,100.00
AP Majumdar,AA Chavan,2,0,2,0,0,2,0,16,6,266.66
AP Majumdar,J Botha,0,0,0,0,1,0,1,4,2,200.00
AP Majumdar,STR Binny,2,3,0,0,0,0,0,3,5,60.00
AP Majumdar,SK Trivedi,1,5,1,0,0,0,0,7,7,100.00
SPD Smith,SW Tait,1,2,0,0,0,0,0,2,3,66.66
SPD Smith,SR Watson,1,3,0,0,0,0,0,3,4,75.00
SPD Smith,J Botha,5,4,0,0,1,0,0,8,10,80.00
SPD Smith,STR Binny,0,2,0,0,0,0,0,2,2,100.00
SPD Smith,SK Trivedi,0,3,0,0,0,0,0,3,3,100.00
AD Mathews,SR Watson,1,2,1,0,0,0,0,4,4,100.00
AD Mathews,J Botha,0,3,1,0,0,0,0,5,4,125.00
AD Mathews,STR Binny,2,2,0,0,0,0,0,2,4,50.00
M Manhas,SW Tait,1,0,0,0,0,0,1,0,2,0.00
M Manhas,SR Watson,0,3,0,0,1,0,0,7,4,175.00
M Manhas,SK Trivedi,0,2,1,0,0,0,0,4,3,133.33
WD Parnell,SW Tait,0,2,0,0,0,0,0,2,2,100.00
R Dravid,WD Parnell,5,2,0,0,1,0,1,6,9,66.66
R Dravid,B Kumar,3,1,1,0,0,0,0,3,5,60.00
R Dravid,A Nehra,0,1,0,0,1,0,0,5,2,250.00
AM Rahane,B Kumar,2,0,0,0,0,0,1,0,3,0.00
SR Watson,WD Parnell,0,2,0,0,1,0,0,6,3,200.00
SR Watson,B Kumar,1,4,0,0,2,0,0,12,7,171.42
SR Watson,M Kartik,6,2,0,0,2,3,0,28,13,215.38
SR Watson,A Nehra,3,3,1,0,3,1,0,23,11,209.09
SR Watson,AD Mathews,1,8,0,0,0,0,0,8,9,88.88
SR Watson,MJ Clarke,2,3,1,0,1,0,0,9,7,128.57
SR Watson,SPD Smith,0,0,0,0,1,0,0,4,1,400.00
AL Menaria,B Kumar,1,2,0,0,0,0,0,2,3,66.66
AL Menaria,M Kartik,0,1,1,0,0,0,0,3,2,150.00
AL Menaria,A Nehra,3,1,0,0,1,0,0,5,5,100.00
AL Menaria,AD Mathews,2,7,0,0,0,0,0,7,9,77.77
AL Menaria,MJ Clarke,0,1,0,0,0,0,1,1,2,50.00
OA Shah,M Kartik,2,1,0,0,0,0,0,1,3,33.33
OA Shah,MJ Clarke,1,2,0,0,0,0,0,2,3,66.66
OA Shah,SPD Smith,0,1,0,0,0,0,0,1,1,100.00
