Batsman,Bowler,0s,1s,2s,3s,4s,6s,Dismissal,Runs,Balls,SR
RV Uthappa,IK Pathan,2,1,1,0,1,0,0,7,5,140.00
RV Uthappa,M Morkel,1,3,0,1,1,0,0,10,6,166.66
RV Uthappa,S Kaul,4,3,0,0,1,0,0,7,8,87.50
RV Uthappa,UT Yadav,0,0,0,0,0,0,1,0,1,0.00
AJ Finch,IK Pathan,3,1,1,0,2,1,0,17,8,212.50
AJ Finch,M Morkel,4,2,0,0,0,0,0,2,6,33.33
AJ Finch,S Kaul,3,2,1,0,0,1,1,10,8,125.00
AJ Finch,UT Yadav,2,1,0,0,1,2,0,17,6,283.33
AJ Finch,S Nadeem,1,4,1,0,0,0,0,6,6,100.00
MK Pandey,IK Pathan,4,0,0,0,0,1,0,6,5,120.00
MK Pandey,UT Yadav,4,1,0,0,0,0,0,1,5,20.00
MK Pandey,S Nadeem,0,3,0,0,0,0,1,3,4,75.00
Yuvraj Singh,IK Pathan,0,0,0,0,0,0,1,0,1,0.00
Yuvraj Singh,S Kaul,0,2,0,0,0,0,0,2,2,100.00
Yuvraj Singh,S Nadeem,3,1,0,0,0,0,0,1,4,25.00
AD Mathews,IK Pathan,0,2,1,0,0,0,0,4,3,133.33
AD Mathews,M Morkel,0,3,0,0,0,1,0,9,4,225.00
AD Mathews,S Kaul,0,3,0,0,0,0,0,3,3,100.00
AD Mathews,UT Yadav,0,4,0,0,0,1,0,10,5,200.00
AD Mathews,S Nadeem,3,4,0,0,0,0,0,4,7,57.14
LJ Wright,IK Pathan,2,0,0,0,0,0,0,0,2,0.00
LJ Wright,M Morkel,2,3,0,0,3,0,0,15,8,187.50
LJ Wright,S Kaul,0,1,0,0,0,0,1,1,2,50.00
LJ Wright,UT Yadav,0,4,0,0,3,1,0,22,8,275.00
LJ Wright,S Nadeem,0,2,0,0,1,0,0,6,3,200.00
RV Gomez,S Kaul,0,0,0,0,1,0,0,4,1,400.00
DPMD Jayawardene,WD Parnell,4,1,0,0,2,0,0,9,7,128.57
DPMD Jayawardene,B Kumar,2,0,0,0,1,0,0,4,3,133.33
DPMD Jayawardene,AG Murtaza,1,1,0,0,0,0,1,1,3,33.33
DA Warner,WD Parnell,0,1,0,0,0,0,1,1,2,50.00
DA Warner,B Kumar,2,1,0,0,0,0,0,1,3,33.33
B Chipli,WD Parnell,2,1,0,0,0,1,0,7,4,175.00
B Chipli,B Kumar,0,2,0,0,0,0,0,2,2,100.00
B Chipli,AB Dinda,5,0,0,0,1,0,0,4,6,66.66
B Chipli,AG Murtaza,1,1,0,0,0,0,1,1,3,33.33
B Chipli,Yuvraj Singh,1,2,0,0,0,0,0,2,3,66.66
V Sehwag,B Kumar,2,1,0,0,1,0,0,5,4,125.00
V Sehwag,AG Murtaza,2,0,0,0,0,0,1,0,3,0.00
V Sehwag,Yuvraj Singh,0,2,0,0,1,0,0,6,3,200.00
BJ Rohrer,AB Dinda,1,1,0,0,0,0,1,1,3,33.33
BJ Rohrer,AG Murtaza,0,1,0,0,0,0,0,1,1,100.00
BJ Rohrer,AD Mathews,3,1,0,0,1,0,0,5,5,100.00
IK Pathan,WD Parnell,1,1,0,0,1,0,0,5,3,166.66
IK Pathan,B Kumar,2,2,0,0,0,0,0,2,4,50.00
IK Pathan,AB Dinda,0,3,0,0,0,0,0,3,3,100.00
IK Pathan,AG Murtaza,6,3,0,0,1,0,0,7,10,70.00
IK Pathan,Yuvraj Singh,0,3,1,0,0,0,0,5,4,125.00
IK Pathan,AD Mathews,1,2,0,0,0,0,1,2,4,50.00
CM Gautam,WD Parnell,0,2,0,0,1,0,0,6,3,200.00
CM Gautam,B Kumar,2,1,1,0,0,1,0,9,5,180.00
CM Gautam,AB Dinda,3,2,0,0,1,0,0,6,6,100.00
CM Gautam,AG Murtaza,0,4,0,0,0,0,0,4,4,100.00
CM Gautam,Yuvraj Singh,0,1,0,1,0,0,0,4,2,200.00
CM Gautam,AD Mathews,1,1,0,0,0,0,1,1,3,33.33
M Morkel,AD Mathews,0,0,0,0,0,0,1,0,1,0.00
UT Yadav,B Kumar,1,2,0,0,0,0,0,2,3,66.66
UT Yadav,AB Dinda,1,2,0,0,0,0,0,2,3,66.66
UT Yadav,AD Mathews,0,2,1,0,0,0,0,4,3,133.33
S Nadeem,AB Dinda,1,0,0,0,1,0,1,4,3,133.33
S Nadeem,AD Mathews,1,0,1,0,0,0,0,2,2,100.00
