Batsman,Bowler,0s,1s,2s,3s,4s,6s,Dismissal,Runs,Balls,SR
RS Bopara,DP Nannes,5,1,0,0,0,0,0,1,6,16.66
RS Bopara,MF Maharoof,1,2,0,0,0,1,0,8,4,200.00
RS Bopara,PJ Sangwan,8,1,2,0,3,0,0,17,14,121.42
RS Bopara,A Mishra,5,6,0,0,2,0,0,14,13,107.69
RS Bopara,VY Mahesh,1,4,1,0,2,0,1,14,9,155.55
RS Bopara,TM Dilshan,0,2,0,0,0,0,0,2,2,100.00
MS Bisla,DP Nannes,4,0,0,0,0,0,0,0,4,0.00
MS Bisla,MF Maharoof,1,0,1,0,0,0,0,2,2,100.00
KC Sangakkara,DP Nannes,1,1,0,0,0,0,0,1,2,50.00
KC Sangakkara,MF Maharoof,2,1,0,0,1,1,1,16,7,228.57
Yuvraj Singh,MF Maharoof,3,0,0,0,1,0,1,4,5,80.00
DPMD Jayawardene,PJ Sangwan,0,0,0,0,0,0,1,0,1,0.00
IK Pathan,PJ Sangwan,0,2,0,0,1,0,0,6,3,200.00
IK Pathan,A Mishra,2,4,0,0,1,0,0,8,7,114.28
IK Pathan,VY Mahesh,0,3,2,0,0,0,0,7,5,140.00
IK Pathan,TM Dilshan,0,0,0,0,0,0,1,0,1,0.00
M Kaif,A Mishra,1,1,0,0,0,0,1,1,3,33.33
M Kaif,TM Dilshan,1,1,0,0,1,0,0,5,3,166.66
PP Chawla,DP Nannes,1,1,0,0,0,0,1,1,3,33.33
PP Chawla,MF Maharoof,0,2,1,0,0,0,0,4,3,133.33
PP Chawla,A Mishra,1,0,0,0,0,0,0,0,1,0.00
RR Powar,DP Nannes,1,0,1,0,0,0,1,2,3,66.66
RR Powar,VY Mahesh,3,1,0,0,0,0,0,1,4,25.00
S Sreesanth,DP Nannes,4,1,0,0,1,0,0,5,6,83.33
S Sreesanth,MF Maharoof,2,1,0,0,0,0,0,1,3,33.33
S Sreesanth,PJ Sangwan,1,1,2,0,1,0,0,9,5,180.00
YA Abdulla,PJ Sangwan,1,0,0,0,0,0,0,0,1,0.00
G Gambhir,IK Pathan,3,1,2,0,1,0,1,9,8,112.50
G Gambhir,S Sreesanth,4,4,0,0,3,0,0,16,11,145.45
G Gambhir,YA Abdulla,5,3,0,0,1,1,0,13,10,130.00
G Gambhir,PP Chawla,4,4,1,0,2,0,0,14,11,127.27
G Gambhir,Yuvraj Singh,4,5,0,0,0,0,0,5,9,55.55
G Gambhir,RR Powar,0,0,2,1,2,0,0,15,5,300.00
V Sehwag,IK Pathan,3,0,0,0,2,0,0,8,5,160.00
V Sehwag,S Sreesanth,0,0,0,0,0,0,1,0,1,0.00
TM Dilshan,S Sreesanth,2,0,0,0,0,0,1,0,3,0.00
AB de Villiers,IK Pathan,5,1,0,0,0,0,0,1,6,16.66
AB de Villiers,S Sreesanth,1,4,0,0,0,0,0,4,5,80.00
AB de Villiers,YA Abdulla,0,2,0,0,0,0,0,2,2,100.00
KD Karthik,YA Abdulla,3,1,1,0,1,0,1,7,7,100.00
KD Karthik,PP Chawla,3,3,0,0,2,0,0,11,8,137.50
KD Karthik,Yuvraj Singh,1,2,0,0,0,0,0,2,3,66.66
M Manhas,IK Pathan,0,2,0,0,1,0,0,6,3,200.00
M Manhas,S Sreesanth,1,2,1,0,0,0,0,4,4,100.00
M Manhas,YA Abdulla,1,2,1,0,1,0,0,8,5,160.00
M Manhas,PP Chawla,0,2,3,0,0,0,0,8,5,160.00
M Manhas,Yuvraj Singh,2,4,0,0,0,0,0,4,6,66.66
M Manhas,RR Powar,0,1,0,0,0,0,0,1,1,100.00
MF Maharoof,IK Pathan,0,1,0,0,0,0,0,1,1,100.00
